age,mass,luminosity,temperature,gravity,radius
0.001,0.0005,-5.37,628,2.645,0.176
0.001,0.001,-4.715,942,2.996,0.166
0.001,0.002,-4.137,1285,3.259,0.174
0.001,0.003,-3.746,1553,3.372,0.187
0.001,0.004,-3.482,1747,3.438,0.2
0.001,0.005,-3.273,1901,3.472,0.215
0.001,0.006,-3.129,2004,3.499,0.228
0.001,0.007,-2.998,2098,3.515,0.242
0.001,0.008,-2.893,2159,3.517,0.258
0.001,0.009,-2.811,2207,3.525,0.271
0.001,0.01,-2.735,2251,3.529,0.285
0.001,0.012,-2.615,2321,3.541,0.307
0.001,0.015,-2.455,2400,3.537,0.345
0.001,0.02,-2.28,2484,3.546,0.395
0.001,0.03,-2.174,2598,3.694,0.408
0.001,0.04,-1.939,2746,3.681,0.478
0.001,0.05,-1.637,2768,3.489,0.666
0.001,0.06,-1.604,2824,3.57,0.665
0.001,0.07,-1.478,2853,3.529,0.753
0.001,0.072,-1.455,2858,3.52,0.771
0.001,0.075,-1.389,2833,3.457,0.847
0.001,0.08,-1.373,2869,3.492,0.84
0.001,0.09,-1.289,2867,3.457,0.927
0.001,0.1,-1.187,2856,3.394,1.051
0.005,0.0005,-6.079,455,2.794,0.148
0.005,0.001,-5.522,644,3.141,0.141
0.005,0.002,-4.92,901,3.425,0.143
0.005,0.003,-4.552,1098,3.576,0.148
0.005,0.004,-4.283,1263,3.675,0.152
0.005,0.005,-4.061,1413,3.745,0.157
0.005,0.006,-3.886,1543,3.802,0.161
0.005,0.007,-3.725,1668,3.843,0.166
0.005,0.008,-3.579,1786,3.874,0.171
0.005,0.009,-3.46,1885,3.9,0.176
0.005,0.01,-3.363,1965,3.921,0.181
0.005,0.012,-3.194,2102,3.948,0.192
0.005,0.015,-2.981,2264,3.96,0.212
0.005,0.02,-2.661,2452,3.905,0.261
0.005,0.03,-2.262,2616,3.795,0.363
0.005,0.04,-2.068,2754,3.814,0.41
0.005,0.05,-1.846,2806,3.722,0.51
0.005,0.06,-1.902,2875,3.899,0.455
0.005,0.07,-1.829,2916,3.917,0.481
0.005,0.072,-1.814,2921,3.918,0.488
0.005,0.075,-1.716,2912,3.832,0.55
0.005,0.08,-1.76,2946,3.925,0.51
0.005,0.09,-1.696,2974,3.928,0.54
0.005,0.1,-1.582,2983,3.865,0.611
0.01,0.0005,-6.38,394,2.847,0.14
0.01,0.001,-5.87,540,3.184,0.134
0.01,0.002,-5.298,746,3.474,0.136
0.01,0.003,-4.914,920,3.631,0.139
0.01,0.004,-4.645,1064,3.739,0.141
0.01,0.005,-4.429,1193,3.82,0.144
0.01,0.006,-4.244,1316,3.883,0.147
0.01,0.007,-4.091,1426,3.937,0.149
0.01,0.008,-3.945,1536,3.978,0.152
0.01,0.009,-3.82,1635,4.013,0.155
0.01,0.01,-3.704,1731,4.042,0.158
0.01,0.012,-3.488,1915,4.081,0.165
0.01,0.015,-3.125,2188,4.046,0.192
0.01,0.02,-2.709,2442,3.945,0.249
0.01,0.03,-2.435,2622,3.971,0.296
0.01,0.04,-2.411,2734,4.145,0.28
0.01,0.05,-2.233,2821,4.118,0.323
0.01,0.06,-2.188,2871,4.184,0.328
0.01,0.07,-2.099,2919,4.189,0.352
0.01,0.072,-2.083,2927,4.19,0.357
0.01,0.075,-2.022,2942,4.156,0.379
0.01,0.08,-2.016,2958,4.188,0.377
0.01,0.09,-1.943,2993,4.186,0.401
0.01,0.1,-1.854,3024,4.161,0.435
0.05,0.0005,-7.069,285,2.975,0.12
0.05,0.001,-6.587,375,3.267,0.122
0.05,0.002,-6.1,491,3.551,0.124
0.05,0.003,-5.789,585,3.719,0.125
0.05,0.004,-5.531,676,3.837,0.126
0.05,0.005,-5.336,756,3.933,0.126
0.05,0.006,-5.152,840,4.012,0.126
0.05,0.007,-4.978,928,4.078,0.127
0.05,0.008,-4.832,1010,4.136,0.127
0.05,0.009,-4.706,1085,4.187,0.127
0.05,0.01,-4.569,1171,4.228,0.127
0.05,0.012,-4.052,1520,4.243,0.137
0.05,0.015,-3.568,1903,4.246,0.153
0.05,0.02,-3.642,1909,4.45,0.139
0.05,0.03,-3.311,2246,4.578,0.147
0.05,0.04,-3.08,2480,4.644,0.158
0.05,0.05,-2.884,2651,4.661,0.173
0.05,0.06,-2.755,2759,4.68,0.185
