 wavelength   u             g             r            i            z            Y            VR             
  300          0.13401776    8.2373E-4     8.9314E-4    0.00200531   0.00221552   5.244E-4     0.0            
  301          0.10761069    0.00105835    9.9687E-4    0.00227989   0.00221496   7.2794E-4    0.0            
  302          0.08801897    0.00130958    7.301E-4     0.00206938   0.00260144   3.77E-4      0.0            
  303          0.15126038    0.00103889    8.3431E-4    0.00209648   0.00217149   4.2126E-4    0.0            
  304          2.11805728    0.00108156    0.00117723   0.00224326   0.00227966   6.0362E-4    0.0            
  305          8.55043       0.00114917    7.8745E-4    0.00204182   0.00251759   4.1272E-4    0.0            
  306          18.55345172   0.00112372    6.7501E-4    0.00201045   0.00231644   3.7081E-4    0.0            
  307          28.39175862   0.0010075     9.1417E-4    0.00229288   0.00247387   6.5338E-4    0.0            
  308          32.97253103   0.00129587    7.2511E-4    0.00213423   0.00263897   4.7711E-4    0.0            
  309          36.4996069    0.00105287    7.078E-4     0.00200811   0.00231014   4.726E-4     0.0            
  310          40.4425069    0.00110656    7.347E-4     0.00201879   0.00223954   5.1658E-4    0.0068889655   
  311          48.22088966   0.00116146    0.00101573   0.00206739   0.00204098   6.7809E-4    0.003962069    
  312          54.98317586   9.5611E-4     9.6818E-4    0.00215034   0.0021319    4.7815E-4    0.0025465517   
  313          59.2927       0.00111751    8.37E-4      0.00205281   0.00228641   9.0229E-4    0.0022137931   
  314          63.87615517   8.9938E-4     7.5936E-4    0.00215362   0.00223035   0.00118929   0.0023062069   
  315          67.57535172   0.00108569    8.1611E-4    0.00217301   0.00227717   0.0011879    0.0020703448   
  316          69.58726552   8.2586E-4     7.5423E-4    0.00236034   0.00247652   7.4904E-4    0.00165        
  317          70.05563448   9.6553E-4     6.9801E-4    0.0022749    0.00247934   0.00102548   0.0011975862   
  318          72.60301034   9.5659E-4     9.3826E-4    0.00224198   0.00248738   0.00118293   0.0012724138   
  319          76.78950345   8.6299E-4     8.9253E-4    0.00195791   0.00273667   0.00183557   9.313793E-4    
  320          79.91230345   9.8551E-4     0.001008     0.00194184   0.00285365   0.00150673   0.001142069    
  321          81.39916897   9.5817E-4     7.6177E-4    0.0019374    0.00326519   0.00131143   0.0011751724   
  322          82.51021724   7.6383E-4     6.0978E-4    0.00213341   0.00333574   0.00165662   7.62069E-4     
  323          82.79112759   8.736E-4      7.3559E-4    0.00244781   0.00274442   0.0018118    8.103448E-4    
  324          83.62266207   0.00101095    8.9449E-4    0.00215108   0.00274968   9.8581E-4    9.775862E-4    
  325          85.05311034   9.495E-4      7.1708E-4    0.00195036   0.0032003    5.3444E-4    7.465517E-4    
  326          86.60012759   0.00102636    7.5762E-4    0.00202494   0.00323955   7.3975E-4    7.862069E-4    
  327          87.72194828   0.00103958    6.9141E-4    0.00193885   0.00360093   8.7438E-4    7.086207E-4    
  328          87.75521034   8.579E-4      7.084E-4     0.0019271    0.00484734   0.00114679   6.482759E-4    
  329          88.2366069    8.4925E-4     8.5711E-4    0.00221708   0.00570214   0.00182929   9.551724E-4    
  330          89.69900345   9.5538E-4     6.3161E-4    0.00200713   0.00464375   0.00201358   8.675862E-4    
  331          89.91213103   9.8186E-4     6.6862E-4    0.00209862   0.00294743   0.00143093   7.555172E-4    
  332          88.26274138   0.00117095    6.2283E-4    0.00195958   0.00285625   0.00100138   8.593103E-4    
  333          87.94605862   0.00109008    7.002E-4     0.00228759   0.002935     6.4196E-4    8.389655E-4    
  334          86.50103103   9.6287E-4     0.00110905   0.00201054   0.00356332   6.0212E-4    7.955172E-4    
  335          87.09282069   0.00116544    7.8635E-4    0.00212356   0.00430676   7.2409E-4    7.162069E-4    
  336          89.2298       9.7093E-4     5.5458E-4    0.00206565   0.00572151   6.7865E-4    6.065517E-4    
  337          89.39863793   0.00109049    5.9578E-4    0.00196463   0.00939135   7.1318E-4    7.768966E-4    
  338          90.01431724   0.00112035    7.2521E-4    0.0018997    0.01161824   8.1692E-4    8.772414E-4    
  339          90.0687069    9.2671E-4     5.7677E-4    0.00188572   0.00916503   7.1341E-4    7.886207E-4    
  340          90.91314828   0.00103101    6.2354E-4    0.00204538   0.00517608   5.0416E-4    6.889655E-4    
  341          90.94965517   0.00110515    5.1747E-4    0.00222852   0.00352775   8.1255E-4    7.975862E-4    
  342          89.7995069    8.508E-4      2.9672E-4    0.00202459   0.00298517   6.4781E-4    6.537931E-4    
  343          89.65222414   9.2355E-4     8.7686E-4    0.00202883   0.00310637   9.2529E-4    7.041379E-4    
  344          90.7939       9.5603E-4     4.1268E-4    0.00201607   0.00387387   6.8509E-4    6.172414E-4    
  345          92.25185172   9.1148E-4     5.5913E-4    0.00209246   0.00493819   5.7982E-4    5.937931E-4    
  346          93.5242069    9.7622E-4     4.6211E-4    0.0020712    0.00506313   7.0144E-4    5.82069E-4     
  347          93.31998276   9.9846E-4     3.5948E-4    0.00201395   0.00717934   5.814E-4     5.072414E-4    
  348          92.48095172   9.1137E-4     5.6823E-4    0.00195009   0.01147302   4.4775E-4    6.910345E-4    
  349          91.94042414   1.9845E-4     -1.5724E-4   0.00139209   0.01121881   -1.2351E-4   4.213793E-4    
  350          91.8710069    9.5454E-4     2.9607E-4    0.00202134   0.00685885   4.6456E-4    6.313793E-4    
  351          91.82248621   0.00115923    4.0308E-4    0.0021577    0.00344761   4.0669E-4    5.455172E-4    
  352          91.59363448   0.00124898    7.5371E-4    0.00185958   0.00305463   3.6023E-4    5.413793E-4    
  353          91.11458966   0.00113666    3.4031E-4    0.00213276   0.00255498   8.1996E-4    4.886207E-4    
  354          91.32047241   7.9267E-4     5.5704E-4    0.00197469   0.00229233   8.6694E-4    5.110345E-4    
  355          92.51813103   9.0492E-4     7.5508E-4    0.00182468   0.00282469   3.8254E-4    4.703448E-4    
  356          94.30571379   9.9786E-4     4.5056E-4    0.00203159   0.00290906   4.7894E-4    4.4E-4         
  357          94.68775862   0.00101938    8.0375E-4    0.00211942   0.00256943   4.5991E-4    3.541379E-4    
  358          93.76113448   0.00125419    7.1586E-4    0.00180836   0.00264448   1.5178E-4    4.806897E-4    
  359          92.80148276   8.8854E-4     4.5725E-4    0.00204756   0.00253422   5.4255E-4    2.889655E-4    
  360          92.03501724   0.00107597    6.3042E-4    0.00184587   0.00211026   3.1849E-4    4.696552E-4    
  361          91.71674828   0.00100115    5.853E-4     0.00233233   0.00219543   2.0764E-4    4.106897E-4    
  362          92.35454138   0.00108732    3.3311E-4    0.00255333   0.00243912   4.2184E-4    3.562069E-4    
  363          93.67914483   0.00100281    5.0812E-4    0.00222879   0.00196836   7.3185E-4    4.262069E-4    
  364          94.33562759   9.4039E-4     3.9824E-4    0.00251878   0.00242411   3.6652E-4    4.113793E-4    
  365          94.13703448   9.6792E-4     4.8195E-4    0.0023698    0.00285224   0.00112983   2.47931E-4     
  366          94.90835172   9.6552E-4     6.6456E-4    0.00228326   0.0031074    6.3463E-4    3.289655E-4    
  367          95.51185862   9.6695E-4     6.0289E-4    0.00232014   0.00287775   6.1478E-4    2.393103E-4    
  368          95.65976897   8.718E-4      4.0762E-4    0.00218468   0.00254741   4.206E-4     3.734483E-4    
  369          95.53958621   0.001016      6.9099E-4    0.00189491   0.00294368   4.4409E-4    3.134483E-4    
  370          95.11995862   0.00104295    5.3561E-4    0.00199325   0.00278403   9.7789E-4    0.0034386207   
  371          94.74297931   0.00104264    3.5057E-4    0.00215796   0.00237636   7.707E-4     0.00274        
  372          94.50001034   8.3364E-4     5.3144E-4    0.00186505   0.00232212   6.1786E-4    0.0045351724   
  373          94.4797931    0.00111626    5.0147E-4    0.00207687   0.00253403   5.018E-4     0.0032551724   
  374          95.04814828   9.7879E-4     5.6444E-4    0.00204492   0.00268398   0.00108211   0.0031334483   
  375          95.83081724   0.0010734     2.634E-4     0.00203649   0.00263721   0.00235473   0.0042951724   
  376          96.30082069   9.9782E-4     5.8417E-4    0.00177165   0.0028878    0.00356588   0.0031982759   
  377          96.42297931   0.00103053    5.4044E-4    0.00191542   0.00250666   0.00367582   0.0029393103   
  378          96.39663103   9.3661E-4     5.1333E-4    0.00197688   0.0021695    0.00268973   0.0029437931   
  379          96.57931034   7.6629E-4     3.4873E-4    0.00196074   0.00189873   0.00138027   0.002732069    
  380          96.66980345   0.0010379     5.7007E-4    0.00177895   0.00221834   8.3035E-4    0.0027834483   
  381          96.67121034   0.0010838     6.2952E-4    0.00202451   0.00245955   2.9668E-4    0.0030844828   
  382          96.27355172   0.00112166    3.9949E-4    0.00205772   0.00224621   4.7765E-4    0.0027375862   
  383          95.5878931    9.7768E-4     5.5288E-4    0.00176744   0.0022747    4.4366E-4    0.0028358621   
  384          95.06426897   0.00145383    5.8724E-4    0.00204952   0.00195541   3.7632E-4    0.0031065517   
  385          94.88612414   0.00243302    7.7358E-4    0.00186589   0.00268963   4.0862E-4    0.0025368966   
  386          95.13297931   0.00367021    6.5185E-4    0.00180389   0.00291577   2.8033E-4    0.0027913793   
  387          95.71766207   0.00458996    6.961E-4     0.00196843   0.00332017   7.405E-4     0.0018593103   
  388          96.31732759   0.00646509    4.2098E-4    0.00200847   0.00294942   4.8201E-4    0.002247931    
  389          96.84911724   0.01149685    7.0514E-4    0.00186142   0.00284304   3.9322E-4    0.0019268966   
  390          96.99111034   0.02877554    0.00112627   0.00209705   0.00249474   5.1526E-4    0.0021458621   
  391          97.06504828   0.10569174    0.00151931   0.00200258   0.002258     3.2357E-4    0.0017996552   
  392          96.81185172   0.355169      0.00161703   0.00205071   0.00229387   4.7796E-4    0.0018165517   
  393          96.63681724   1.00564969    0.00143131   0.00210428   0.00217382   3.4492E-4    0.0018982759   
  394          96.51987241   2.92234802    0.0013348    0.00185974   0.0022361    4.0928E-4    0.0017268966   
  395          96.11457241   10.02316241   9.3091E-4    0.00192902   0.00226172   2.4532E-4    0.0018589655   
  396          95.97025517   19.55565517   0.00147937   0.00208291   0.00211182   4.5141E-4    0.0018931034   
  397          94.71630345   32.97045517   0.00275489   0.00215342   0.00216781   2.6783E-4    0.0019024138   
  398          85.9575       47.30148276   0.00440033   0.00191119   0.00257407   3.6737E-4    0.0011806897   
  399          63.97785172   60.94654483   0.00636034   0.00238228   0.0025171    4.824E-4     0.0014568966   
  400          35.92626552   73.08908276   0.00583158   0.00336677   0.00225137   1.5441E-4    0.0013610345   
  401          15.10747172   81.2077       0.00319936   0.00418204   0.00211172   3.2273E-4    0.0016562069   
  402          5.33974448    84.91604483   0.0011283    0.00480203   0.001884     3.3833E-4    0.0017186207   
  403          2.04279034    86.03278276   0.0010144    0.00495972   0.00166194   2.8062E-4    0.0013882759   
  404          0.89868959    86.88612759   7.7651E-4    0.00609052   0.00205098   2.2092E-4    0.0011031034   
  405          0.414589      87.26447586   7.3378E-4    0.00775889   0.00199955   2.1132E-4    0.001157931    
