# WAVE T_TOTAL T_FILTER T_TELESCOPE T_NI-OA T_QE
1405 7.39323e-05 9.33327e-05 0.892197 0.939733 0.94479
1406 7.87152e-05 9.94054e-05 0.892028 0.939565 0.944808
1407 8.80195e-05 0.000111139 0.892299 0.939398 0.944827
1408 7.98104e-05 0.000100787 0.892321 0.939232 0.944846
1409 8.04887e-05 0.000101581 0.893008 0.939068 0.944866
1410 8.96503e-05 0.000113211 0.892609 0.938906 0.944887
1411 8.68784e-05 0.000109826 0.891803 0.938745 0.944909
1412 8.0046e-05 0.000101211 0.891739 0.938586 0.944931
1413 9.3824e-05 0.000118704 0.891327 0.938428 0.944954
1414 8.66659e-05 0.000109466 0.892933 0.938272 0.944977
1415 8.03055e-05 0.000101524 0.892251 0.938117 0.945001
1416 7.79284e-05 9.84914e-05 0.892622 0.937964 0.945026
1417 7.65934e-05 9.68994e-05 0.891863 0.937813 0.945052
1418 7.4442e-05 9.40761e-05 0.892945 0.937662 0.945078
1419 6.86357e-05 8.67011e-05 0.893444 0.937514 0.945105
1420 7.16165e-05 9.05779e-05 0.89246 0.937367 0.945132
1421 6.53319e-05 8.26349e-05 0.892512 0.937221 0.945161
1422 5.90971e-05 7.47355e-05 0.892781 0.937077 0.94519
1423 5.90591e-05 7.46765e-05 0.893019 0.936935 0.94522
1424 5.24493e-05 6.63188e-05 0.893125 0.936794 0.94525
1425 6.19594e-05 7.83478e-05 0.893181 0.936655 0.945281
1426 6.99315e-05 8.84655e-05 0.89291 0.936517 0.945313
1427 6.8377e-05 8.65558e-05 0.892423 0.93638 0.945346
1428 6.15276e-05 7.78272e-05 0.893187 0.936245 0.94538
1429 6.08152e-05 7.69474e-05 0.893035 0.936112 0.945414
1430 6.09746e-05 7.71689e-05 0.892898 0.93598 0.945449
1431 5.59075e-05 7.08047e-05 0.892374 0.93585 0.945485
1432 6.0059e-05 7.60971e-05 0.892055 0.935721 0.945522
1433 7.32291e-05 9.27549e-05 0.892423 0.935593 0.94556
1434 6.01578e-05 7.61836e-05 0.892679 0.935467 0.945598
1435 5.73082e-05 7.25592e-05 0.892954 0.935343 0.945637
1436 6.50065e-05 8.23424e-05 0.892641 0.93522 0.945677
1437 6.72835e-05 8.52591e-05 0.892379 0.935098 0.945718
1438 6.99598e-05 8.86337e-05 0.892621 0.934978 0.94576
1439 7.30334e-05 9.24484e-05 0.89346 0.93486 0.945802
1440 6.94575e-05 8.79594e-05 0.893151 0.934742 0.945846
1441 7.03754e-05 8.92115e-05 0.892321 0.934627 0.94589
1442 7.71861e-05 9.77905e-05 0.892886 0.934513 0.945935
1443 8.04869e-05 0.000101983 0.892858 0.9344 0.945981
1444 7.7133e-05 9.77372e-05 0.892884 0.934289 0.946028
1445 8.13834e-05 0.000103196 0.892312 0.934179 0.946076
1446 8.7556e-05 0.000111011 0.892467 0.93407 0.946125
1447 8.60918e-05 0.00010921 0.892069 0.933963 0.946175
1448 8.68341e-05 0.000110185 0.891852 0.933858 0.946225
1449 8.1573e-05 0.000103476 0.892187 0.933754 0.946277
1450 9.2378e-05 0.000117184 0.892223 0.933651 0.946329
1451 9.60159e-05 0.000121793 0.892295 0.93355 0.9464
1452 9.41343e-05 0.000119525 0.891436 0.93345 0.946472
1453 9.52216e-05 0.000120798 0.892256 0.933352 0.946544
1454 9.52347e-05 0.000120876 0.891826 0.933255 0.946618
1455 9.31461e-05 0.000118325 0.891094 0.93316 0.946692
1456 8.73947e-05 0.000110982 0.891409 0.933066 0.946767
1457 9.52506e-05 0.000120903 0.891833 0.932973 0.946843
1458 9.13414e-05 0.000115801 0.892927 0.932882 0.946919
1459 8.86748e-05 0.000112485 0.892427 0.932792 0.946996
1460 9.51156e-05 0.000120609 0.89278 0.932704 0.947074
1461 8.93641e-05 0.000113322 0.892741 0.932617 0.947153
1462 9.07162e-05 0.000115101 0.89225 0.932531 0.947231
1463 8.18078e-05 0.00010376 0.892582 0.932447 0.947311
1464 8.73969e-05 0.000110887 0.892279 0.932364 0.947391
1465 9.07752e-05 0.000115137 0.892562 0.932283 0.947471
1466 9.03505e-05 0.000114552 0.892924 0.932203 0.947552
1467 9.09592e-05 0.000115389 0.892418 0.932124 0.947633
1468 8.78956e-05 0.000111533 0.892171 0.932047 0.947715
1469 9.30295e-05 0.00011799 0.892603 0.931971 0.947796
1470 9.15267e-05 0.000116173 0.891912 0.931897 0.947879
1471 9.45012e-05 0.000119975 0.891707 0.931824 0.947961
1472 0.000100035 0.00012706 0.891276 0.931752 0.948044
1473 0.000108739 0.000137976 0.892174 0.931682 0.948126
1474 0.000114919 0.000145742 0.892621 0.931613 0.948209
1475 0.000113776 0.000144273 0.892727 0.931545 0.948292
1476 0.000116091 0.000147176 0.892913 0.931479 0.948375
1477 0.000124944 0.000158514 0.892254 0.931414 0.948458
1478 0.000137812 0.000174802 0.892427 0.931351 0.948541
1479 0.000141931 0.00018 0.892537 0.931289 0.948625
1480 0.00014338 0.000182059 0.89143 0.931228 0.948708
1481 0.000159024 0.000201838 0.89179 0.931168 0.94879
1482 0.00017842 0.000226572 0.891307 0.93111 0.948873
1483 0.000189318 0.000240317 0.891636 0.931054 0.948956
1484 0.000202388 0.000256923 0.891558 0.930998 0.949038
1485 0.000225402 0.000286176 0.891414 0.930944 0.94912
1486 0.000242987 0.000308383 0.891732 0.930891 0.949202
1487 0.000271876 0.000345153 0.891432 0.93084 0.949284
1488 0.000305781 0.000388105 0.891612 0.93079 0.949365
1489 0.00034163 0.000433857 0.891068 0.930741 0.949446
1490 0.000376218 0.000477573 0.891427 0.930694 0.949526
1491 0.00041923 0.000532175 0.891392 0.930648 0.949606
1492 0.000476692 0.000605811 0.89034 0.930603 0.949686
1493 0.000543016 0.000689258 0.891396 0.930559 0.949765
1494 0.000632657 0.000803217 0.891167 0.930517 0.949843
1495 0.000722235 0.000917894 0.890211 0.930477 0.949921
1496 0.00083504 0.0010609 0.890478 0.930437 0.949998
1497 0.000980891 0.00124718 0.889743 0.930399 0.950075
1498 0.00116038 0.00147419 0.890434 0.930362 0.950151
1499 0.00137198 0.00174235 0.890737 0.930326 0.950226
1500 0.00162886 0.00206763 0.89111 0.930292 0.9503
1501 0.00195542 0.00248643 0.889566 0.930259 0.950347
1502 0.00235931 0.00300147 0.889117 0.930227 0.950393
1503 0.00288759 0.00366945 0.890093 0.930197 0.950438
1504 0.00356297 0.00453175 0.889284 0.930168 0.950483
1505 0.00443364 0.0056334 0.890179 0.93014 0.950527
1506 0.00557431 0.00709066 0.88917 0.930113 0.95057
1507 0.00706914 0.00899108 0.889256 0.930088 0.950613
1508 0.00902959 0.011482 0.889436 0.930064 0.950655
1509 0.0116515 0.0148251 0.888871 0.930041 0.950696
1510 0.0152647 0.0194254 0.888721 0.930019 0.950737
1511 0.0202314 0.0257511 0.888524 0.929999 0.950778
1512 0.0269514 0.034324 0.888 0.92998 0.950818
1513 0.0360307 0.0458339 0.889007 0.929962 0.950857
1514 0.0488028 0.0621582 0.887883 0.929946 0.950896
1515 0.0664098 0.0845864 0.887831 0.929931 0.950935
1516 0.0903584 0.115072 0.887945 0.929917 0.950974
1517 0.121673 0.15486 0.888442 0.929904 0.951012
1518 0.16406 0.208677 0.88898 0.929893 0.95105
