# WAVE T_TOTAL T_FILTER T_TELESCOPE T_NI-OA T_QE
1005 3.29775e-05 4.17931e-05 0.879852 0.955973 0.938118
1006 2.35482e-05 2.98538e-05 0.879685 0.955606 0.938323
1007 2.60136e-06 3.29642e-06 0.88025 0.955227 0.938523
1008 1.00941e-05 1.2782e-05 0.881061 0.954836 0.938717
1009 5.41753e-06 6.85796e-06 0.881534 0.954434 0.938905
1010 9.53938e-07 1.20811e-06 0.88135 0.954022 0.939089
1011 1.96221e-05 2.48563e-05 0.881362 0.953599 0.939267
1012 1.00275e-05 1.27003e-05 0.881742 0.953167 0.93944
1013 -7.38718e-07 -9.35368e-07 0.88223 0.952725 0.939608
1014 -1.79183e-05 -2.2681e-05 0.882773 0.952275 0.939772
1015 1.06263e-05 1.34587e-05 0.882533 0.951818 0.93993
1016 -3.91209e-06 -4.95848e-06 0.88217 0.951353 0.940084
1017 -7.12243e-08 -9.03369e-08 0.881863 0.950881 0.940234
1018 1.36036e-06 1.72511e-06 0.882323 0.950402 0.940378
1019 2.01169e-05 2.5539e-05 0.881662 0.949919 0.940519
1020 3.77391e-06 4.79666e-06 0.880967 0.949429 0.940655
1021 2.05888e-06 2.61894e-06 0.880596 0.948936 0.940787
1022 9.87941e-07 1.25732e-06 0.880494 0.948438 0.940914
1023 -6.94845e-07 -8.84369e-07 0.880781 0.947937 0.941038
1024 1.14562e-05 1.4599e-05 0.880051 0.947432 0.941158
1025 5.82978e-06 7.43308e-06 0.879937 0.946926 0.941274
1026 2.32928e-06 2.97359e-06 0.879204 0.946417 0.941386
1027 9.82321e-06 1.25471e-05 0.879112 0.945907 0.941494
1028 1.38213e-05 1.76559e-05 0.879387 0.945396 0.941599
1029 3.4795e-05 4.4428e-05 0.880175 0.944885 0.9417
1030 6.00186e-05 7.664e-05 0.880497 0.944375 0.941798
1031 6.21183e-05 7.93563e-05 0.880494 0.943865 0.941893
1032 8.27749e-05 0.000105769 0.880685 0.943357 0.941984
1033 9.64233e-05 0.000123168 0.881367 0.94285 0.942073
1034 9.70867e-05 0.00012391 0.882509 0.942346 0.942158
1035 6.53801e-05 8.34334e-05 0.883007 0.941846 0.94224
1036 4.54622e-05 5.80043e-05 0.883572 0.941348 0.94232
1037 5.53302e-05 7.05984e-05 0.883917 0.940855 0.942396
1038 7.08767e-05 9.04099e-05 0.884549 0.940367 0.942471
1039 3.97891e-05 5.07193e-05 0.885556 0.939884 0.942542
1040 1.31515e-05 1.67621e-05 0.886058 0.939407 0.942611
1041 8.45304e-06 1.07776e-05 0.886118 0.938936 0.942678
1042 2.62515e-06 3.34777e-06 0.886307 0.938471 0.942742
1043 4.23251e-06 5.39556e-06 0.887016 0.938012 0.942804
1044 3.36825e-06 4.29118e-06 0.887933 0.937559 0.942864
1045 -7.40027e-06 -9.42719e-06 0.888378 0.937111 0.942923
1046 2.56888e-06 3.273e-06 0.888606 0.936669 0.942979
1047 4.33548e-06 5.52427e-06 0.888898 0.936232 0.943033
1048 -1.6019e-06 -2.04271e-06 0.888573 0.9358 0.943086
1049 9.41993e-07 1.20114e-06 0.888985 0.935373 0.943137
1050 1.73777e-05 2.21889e-05 0.888116 0.934951 0.943186
1051 1.30811e-06 1.671e-06 0.888056 0.934533 0.94326
1052 -6.71956e-06 -8.59133e-06 0.887592 0.93412 0.943332
1053 5.13262e-06 6.56177e-06 0.88799 0.93371 0.943404
1054 1.78679e-05 2.28547e-05 0.887863 0.933304 0.943473
1055 -1.26526e-05 -1.62073e-05 0.886892 0.932903 0.943542
