# WAVE T_TOTAL T_FILTER T_TELESCOPE T_NI-OA T_QE
905 7.5113e-08 0.000105286 0.000916272 0.87738 0.887426
906 1.91012e-08 7.52355e-05 0.000324963 0.879581 0.888235
907 1.35019e-07 5.17601e-05 0.00332764 0.881753 0.889033
908 2.78543e-08 3.40472e-05 0.00104018 0.883893 0.889821
909 4.6503e-08 2.13514e-05 0.00276018 0.886003 0.890599
910 4.93864e-08 1.49275e-05 0.00417937 0.888081 0.891368
911 5.00486e-08 1.22749e-05 0.00513447 0.890127 0.892127
912 6.814e-08 1.00324e-05 0.00852653 0.89214 0.892877
913 8.43386e-08 9.1823e-06 0.0114955 0.89412 0.893617
914 1.18578e-07 8.99259e-06 0.0164541 0.896066 0.894348
915 1.74339e-07 8.82801e-06 0.0245702 0.897977 0.89507
916 2.4088e-07 8.49972e-06 0.0351578 0.899853 0.895783
917 3.34094e-07 8.12229e-06 0.0508847 0.901693 0.896487
918 4.35089e-07 7.29911e-06 0.0735359 0.903499 0.897183
919 6.60982e-07 8.01873e-06 0.101413 0.905269 0.897869
920 1.06528e-06 9.24164e-06 0.141437 0.907005 0.898548
921 1.5872e-06 1.01605e-05 0.191174 0.908707 0.899218
922 2.30254e-06 1.11427e-05 0.252239 0.910375 0.89988
923 3.31826e-06 1.26196e-05 0.320159 0.912009 0.900534
924 4.94132e-06 1.50349e-05 0.399181 0.91361 0.90118
925 7.28201e-06 1.84293e-05 0.478759 0.915179 0.901819
926 1.09196e-05 2.36196e-05 0.558827 0.916716 0.90245
927 1.63294e-05 3.12448e-05 0.630265 0.91822 0.903073
928 2.37988e-05 4.09018e-05 0.700085 0.919693 0.903688
929 3.45257e-05 5.50628e-05 0.752749 0.921135 0.904297
930 4.92836e-05 7.44162e-05 0.793318 0.922546 0.904898
931 6.95513e-05 0.000100915 0.82381 0.923926 0.905493
932 9.80928e-05 0.000138775 0.843117 0.925276 0.90608
933 0.00014011 0.000194844 0.855945 0.926597 0.906661
934 0.000199542 0.000274903 0.862263 0.927888 0.907235
935 0.000287731 0.000394336 0.865052 0.929151 0.907803
936 0.000405596 0.000553835 0.866545 0.930385 0.908364
937 0.000592317 0.000807306 0.866494 0.93159 0.90892
938 0.000904425 0.00122983 0.866894 0.932768 0.909469
939 0.00157697 0.0021406 0.866825 0.933918 0.910012
940 0.00272933 0.00369737 0.867019 0.935041 0.910549
941 0.00644813 0.00873018 0.865993 0.936138 0.91108
942 0.0142018 0.019177 0.8668 0.937208 0.911606
943 0.0278691 0.0375615 0.866973 0.938252 0.912127
944 0.044613 0.0599557 0.868039 0.939271 0.912642
945 0.0624714 0.0838591 0.867637 0.940264 0.913152
946 0.0841821 0.112695 0.868631 0.941232 0.913657
947 0.125549 0.167579 0.869845 0.942176 0.914157
948 0.193227 0.257354 0.870414 0.943094 0.914652
949 0.299855 0.398221 0.87163 0.943988 0.915143
950 0.434935 0.57657 0.87194 0.944857 0.915629
951 0.566382 0.748759 0.873038 0.945702 0.916178
952 0.667793 0.8807 0.873866 0.946521 0.916724
953 0.723225 0.951427 0.8748 0.947316 0.917264
954 0.741707 0.973001 0.876038 0.948087 0.9178
955 0.746622 0.977821 0.876298 0.948833 0.918332
956 0.747987 0.977728 0.876814 0.949554 0.918859
957 0.749365 0.977415 0.877569 0.95025 0.919381
958 0.751517 0.977591 0.878813 0.950922 0.919899
959 0.753927 0.97846 0.879758 0.95157 0.920412
960 0.756886 0.980325 0.880469 0.952192 0.92092
961 0.760002 0.983413 0.880282 0.952791 0.921424
962 0.763258 0.986785 0.880026 0.953365 0.921922
963 0.766446 0.989361 0.880422 0.953914 0.922416
964 0.768389 0.990874 0.880352 0.95444 0.922906
965 0.769857 0.992223 0.879913 0.95494 0.92339
966 0.770874 0.993061 0.879436 0.955417 0.923869
967 0.771616 0.993397 0.879116 0.955869 0.924344
968 0.772131 0.993599 0.878685 0.956297 0.924813
969 0.772461 0.993772 0.878097 0.9567 0.925277
970 0.772543 0.993453 0.877687 0.957079 0.925737
971 0.772947 0.993476 0.87737 0.957434 0.926191
972 0.773082 0.993387 0.876874 0.957765 0.92664
973 0.773327 0.992945 0.876841 0.958072 0.927084
974 0.77396 0.992983 0.876852 0.958354 0.927523
975 0.773684 0.992838 0.87602 0.958613 0.927957
976 0.774067 0.9925 0.876134 0.958847 0.928385
977 0.77395 0.99188 0.875958 0.959057 0.928808
978 0.773894 0.991206 0.875926 0.959243 0.929226
979 0.774779 0.991052 0.876526 0.959406 0.929639
980 0.774886 0.990918 0.876256 0.959544 0.930046
981 0.775136 0.990695 0.876254 0.959658 0.930447
982 0.775131 0.990183 0.876245 0.959748 0.930844
983 0.775119 0.989713 0.876219 0.959815 0.931234
984 0.775758 0.989586 0.876652 0.959857 0.93162
985 0.776231 0.989971 0.876472 0.959876 0.931999
986 0.776488 0.990208 0.876205 0.95987 0.932374
987 0.777149 0.99054 0.876337 0.959842 0.932742
988 0.777855 0.991346 0.876125 0.959791 0.933105
989 0.778813 0.991991 0.876366 0.959717 0.933462
990 0.778811 0.992174 0.875959 0.959622 0.933814
