#LAMBDA    G          BP        RP         RVS
#[NM]
321    0.00000    0.00000    0.00000    0.00000
323    0.00002    0.00002    0.00000    0.00000
325    0.00032    0.00046    0.00000    0.00000
327    0.00206    0.00526    0.00001    0.00000
329    0.00674    0.02390    0.00001    0.00000
331    0.01421    0.04898    0.00003    0.00000
333    0.02299    0.08185    0.00004    0.00000
335    0.03274    0.12277    0.00008    0.00000
337    0.04180    0.14695    0.00009    0.00000
339    0.05050    0.17316    0.00011    0.00000
341    0.05958    0.18345    0.00020    0.00000
343    0.06760    0.14596    0.00016    0.00000
345    0.07475    0.18281    0.00019    0.00000
347    0.08025    0.25723    0.00014    0.00000
349    0.08407    0.27736    0.00005    0.00000
351    0.08710    0.28033    0.00004    0.00000
353    0.08854    0.29140    0.00004    0.00000
355    0.08937    0.28547    0.00004    0.00000
357    0.08917    0.28084    0.00004    0.00000
359    0.08863    0.28221    0.00004    0.00000
361    0.08770    0.27695    0.00003    0.00000
363    0.08640    0.26857    0.00003    0.00000
364    0.08539    0.26310    0.00003    0.00000
365    0.08490    0.25980    0.00002    0.00000
367    0.08338    0.25087    0.00004    0.00000
369    0.08183    0.23897    0.00003    0.00000
371    0.08071    0.22771    0.00003    0.00000
373    0.07939    0.21463    0.00003    0.00000
375    0.07925    0.20324    0.00002    0.00000
377    0.08017    0.19790    0.00002    0.00000
379    0.08295    0.19448    0.00002    0.00000
381    0.09014    0.20044    0.00002    0.00000
383    0.10242    0.22009    0.00003    0.00000
385    0.12071    0.24403    0.00002    0.00000
387    0.14525    0.27541    0.00004    0.00000
389    0.17621    0.32483    0.00003    0.00000
391    0.21093    0.37507    0.00005    0.00000
393    0.24760    0.43397    0.00005    0.00000
395    0.28401    0.48619    0.00007    0.00000
397    0.31790    0.51822    0.00007    0.00000
399    0.35028    0.55545    0.00009    0.00000
401    0.37911    0.61009    0.00014    0.00000
403    0.40657    0.66496    0.00011    0.00000
405    0.43172    0.69395    0.00008    0.00000
407    0.45596    0.70697    0.00009    0.00000
409    0.47663    0.72264    0.00008    0.00000
411    0.49884    0.75939    0.00010    0.00000
413    0.51685    0.78837    0.00012    0.00000
415    0.53508    0.81350    0.00017    0.00000
417    0.55286    0.83407    0.00012    0.00000
419    0.57075    0.84165    0.00007    0.00000
421    0.58594    0.85270    0.00010    0.00000
423    0.60022    0.87281    0.00007    0.00000
425    0.61246    0.88248    0.00007    0.00000
427    0.62663    0.89082    0.00005    0.00000
429    0.64060    0.89787    0.00007    0.00000
431    0.65414    0.90944    0.00006    0.00000
433    0.66276    0.92220    0.00009    0.00000
435    0.67603    0.93078    0.00008    0.00000
437    0.68729    0.91626    0.00010    0.00000
