#Wavelength	Transmission
2.1007830000	-0.0001356108
2.1007840000	0.0691163000
2.1008790000	0.0690998600
2.1009740000	0.0690834200
2.1010690000	0.0690669800
2.1011640000	0.0690505500
2.1012590000	0.0690341100
2.1013540000	0.0690176700
2.1014490000	0.0690012300
2.1015440000	0.0689847900
2.1016390000	0.0689683600
2.1017340000	0.0689519200
2.1018290000	0.0689354800
2.1019240000	0.0689190400
2.1020190000	0.0689026100
2.1021130000	0.0688861700
2.1022080000	0.0688697300
2.1023030000	0.0688532900
2.1023980000	0.0688368600
2.1024930000	0.0688204200
2.1025880000	0.0688039800
2.1026830000	0.0687875400
2.1027780000	0.0687711000
2.1028730000	0.0687546700
2.1029680000	0.0687382300
2.1030630000	0.0687217900
2.1031580000	0.0687053500
2.1032530000	0.0686889200
2.1033480000	0.0686724800
2.1034430000	0.0686560400
2.1035380000	0.0686396000
2.1036330000	0.0686231700
2.1037280000	0.0686067300
2.1038220000	0.0685902900
2.1039170000	0.0685738500
2.1040120000	0.0685574200
2.1041070000	0.0685409800
2.1042020000	0.0685245400
2.1042970000	0.0685081000
2.1043920000	0.0684916600
2.1044870000	0.0684752300
2.1045820000	0.0684587900
2.1046770000	0.0684423500
2.1047720000	0.0684259100
2.1048670000	0.0684094800
2.1049620000	0.0683930400
2.1050570000	0.0683766000
2.1051520000	0.0683601600
2.1052470000	0.0683437300
2.1053420000	0.0683272900
2.1054370000	0.0683108500
2.1055310000	0.0682944100
2.1056260000	0.0682779700
2.1057210000	0.0682615400
2.1058160000	0.0682451000
2.1059110000	0.0682286600
2.1060060000	0.0682122200
2.1061010000	0.0681957900
2.1061960000	0.0681793500
2.1062910000	0.0681629100
2.1063860000	0.0681464700
2.1064810000	0.0681300400
2.1065760000	0.0681136000
2.1066710000	0.0680971600
2.1067660000	0.0680807200
2.1068610000	0.0680642900
2.1069560000	0.0680478500
2.1070510000	0.0680314100
2.1071460000	0.0680149700
2.1072400000	0.0679985300
2.1073350000	0.0679821000
2.1074300000	0.0679656600
2.1075250000	0.0679492200
2.1076200000	0.0679327800
2.1077150000	0.0679163500
2.1078100000	0.0678999100
2.1079050000	0.0678834700
2.1080000000	0.0678670300
2.1080950000	0.0678506000
2.1080960000	0.1371025000
2.1081910000	0.1370861000
2.1082850000	0.0678177200
2.1083800000	0.0678012800
2.1084750000	0.0677848400
2.1085700000	0.0677684100
2.1086650000	0.0677519700
2.1087600000	0.0677355300
2.1087610000	0.1369874000
2.1088550000	0.0677190900
2.1089490000	0.0677026600
2.1090440000	0.0676862200
2.1091390000	0.0676697800
2.1092340000	0.0676533400
2.1093290000	0.0676369100
2.1094240000	0.0676204700
2.1095190000	0.0676040300
2.1096140000	0.0675875900
2.1097090000	0.0675711500
2.1098040000	0.0675547200
2.1098990000	0.0675382800
2.1099940000	0.0675218400
2.1100890000	0.0675054000
2.1101840000	0.0674889700
2.1102790000	0.0674725300
2.1103740000	0.0674560900
2.1103750000	0.1367080000
2.1104700000	0.1366916000
2.1105640000	0.0674232200
2.1106580000	0.0674067800
2.1107530000	0.0673903400
2.1108480000	0.0673739000
2.1109430000	0.0673574700
2.1110380000	0.0673410300
2.1111330000	0.0673245900
2.1112280000	0.0673081500
2.1113230000	0.0672917100
2.1114180000	0.0672752800
2.1114190000	0.1365272000
2.1115140000	0.1365107000
2.1116090000	0.1364943000
2.1117040000	0.1364779000
2.1117980000	0.0672095300
2.1118930000	0.0671930900
2.1119880000	0.0671766500
2.1120830000	0.0671602100
2.1121780000	0.0671437800
2.1121790000	0.1363957000
2.1122730000	0.1363792000
2.1123670000	0.0671109000
2.1124620000	0.0670944600
2.1125570000	0.0670780200
2.1126520000	0.0670615900
2.1127470000	0.0670451500
2.1128420000	0.0670287100
2.1129370000	0.0670122700
2.1130320000	0.0669958400
2.1131270000	0.0669794000
2.1132220000	0.0669629600
2.1133170000	0.0669465200
2.1134120000	0.0669300900
2.1135070000	0.0669136500
2.1136020000	0.0668972100
2.1136970000	0.0668807700
2.1137920000	0.0668643400
2.1138870000	0.0668479000
2.1139810000	0.0668314600
2.1140760000	0.0668150200
2.1140770000	0.1360669000
2.1141720000	0.1360505000
2.1142670000	0.1360341000
2.1143620000	0.1360176000
2.1144570000	0.1360012000
2.1145510000	0.0667328300
2.1146460000	0.0667164000
2.1147410000	0.0666999600
2.1147420000	0.1359519000
2.1148370000	0.1359354000
2.1149320000	0.1359190000
2.1150270000	0.1359026000
2.1151220000	0.1358861000
2.1152170000	0.1358697000
2.1153110000	0.0666013300
2.1154060000	0.0665848900
2.1155010000	0.0665684600
2.1155960000	0.0665520200
2.1156900000	0.0665355800
2.1157850000	0.0665191400
2.1158800000	0.0665027100
2.1159750000	0.0664862700
2.1160700000	0.0664698300
2.1161650000	0.0664533900
2.1162600000	0.0664369600
2.1162610000	0.1356889000
2.1163560000	0.1356724000
2.1164510000	0.1356560000
2.1165450000	0.0663876400
2.1165460000	0.1356395000
2.1166410000	0.1356231000
2.1167360000	0.1356067000
2.1168310000	0.1355902000
2.1169260000	0.1355738000
2.1170210000	0.1355574000
2.1171150000	0.0662890200
2.1172100000	0.0662725800
2.1173050000	0.0662561400
2.1173990000	0.0662397000
2.1174000000	0.1354916000
2.1174940000	0.0662232700
2.1175890000	0.0662068300
2.1176840000	0.0661903900
2.1177790000	0.0661739500
2.1177800000	0.1354259000
2.1178750000	0.1354094000
2.1179690000	0.0661410800
2.1180640000	0.0661246400
2.1181590000	0.0661082000
2.1182540000	0.0660917600
2.1183490000	0.0660753300
2.1184440000	0.0660588900
2.1185390000	0.0660424500
2.1186340000	0.0660260100
2.1187290000	0.0660095800
2.1188240000	0.0659931400
2.1189190000	0.0659767000
2.1190140000	0.0659602600
2.1190150000	0.1352122000
2.1191090000	0.1351957000
2.1192040000	0.1351793000
2.1192990000	0.1351629000
2.1193940000	0.1351464000
2.1194880000	0.0658780700
2.1195830000	0.0658616400
2.1196780000	0.0658452000
2.1197730000	0.0658287600
2.1198680000	0.0658123200
2.1199630000	0.0657958900
2.1200580000	0.0657794500
2.1201530000	0.0657630100
2.1202480000	0.0657465700
2.1203430000	0.0657301400
2.1204380000	0.0657137000
2.1205330000	0.0656972600
2.1206280000	0.0656808200
2.1207230000	0.0656643900
2.1208170000	0.0656479500
2.1209120000	0.0656315100
2.1210070000	0.0656150700
2.1210080000	0.1348670000
2.1211030000	0.1348505000
2.1211980000	0.1348341000
2.1212930000	0.1348177000
2.1213880000	0.1348012000
2.1214830000	0.1347848000
2.1215780000	0.1347684000
2.1216730000	0.1347519000
2.1217680000	0.1347355000
2.1218630000	0.1347190000
2.1219580000	0.1347026000
2.1220530000	0.1346862000
2.1221480000	0.1346697000
2.1222430000	0.1346533000
2.1223380000	0.1346369000
2.1224320000	0.1346204000
2.1225270000	0.1346040000
2.1226220000	0.1345875000
2.1227170000	0.1345711000
2.1228120000	0.1345547000
2.1229070000	0.1345382000
2.1230020000	0.1345218000
2.1230970000	0.1345054000
2.1231920000	0.1344889000
2.1232870000	0.1344725000
2.1233820000	0.1344560000
2.1234770000	0.1344396000
2.1235720000	0.1344232000
2.1236670000	0.1344067000
2.1237620000	0.1343903000
2.1238570000	0.1343738000
2.1239520000	0.1343574000
2.1240470000	0.1343410000
2.1241410000	0.1343245000
2.1242360000	0.1343081000
2.1243310000	0.1342917000
2.1244260000	0.1342752000
2.1245210000	0.1342588000
2.1246160000	0.1342423000
2.1247110000	0.1342259000
2.1248060000	0.1342095000
2.1249010000	0.1341930000
2.1249960000	0.1341766000
2.1250910000	0.1341602000
2.1251860000	0.1341437000
2.1252810000	0.1341273000
2.1253760000	0.1341108000
2.1254710000	0.1340944000
2.1255660000	0.1340780000
2.1256610000	0.1340615000
2.1257560000	0.1340451000
2.1258500000	0.1340287000
2.1259450000	0.1340122000
2.1260400000	0.1339958000
2.1261350000	0.1339793000
2.1262300000	0.1339629000
2.1263250000	0.1339465000
2.1264200000	0.1339300000
2.1265150000	0.1339136000
2.1266100000	0.1338972000
2.1267050000	0.1338807000
2.1268000000	0.1338643000
2.1268950000	0.1338478000
2.1269900000	0.1338314000
2.1270850000	0.1338150000
2.1271800000	0.1337985000
2.1272750000	0.1337821000
2.1273700000	0.1337657000
2.1273710000	0.2030176000
2.1274660000	0.2030011000
2.1275600000	0.2029847000
2.1276550000	0.2029682000
2.1277500000	0.2029518000
2.1278450000	0.2029354000
2.1279400000	0.2029189000
2.1280350000	0.2029025000
2.1281300000	0.2028861000
2.1282250000	0.2028696000
2.1283200000	0.2028532000
2.1284150000	0.2028367000
2.1285100000	0.2028203000
2.1286050000	0.2028039000
2.1287000000	0.2027874000
2.1287950000	0.2027710000
2.1288900000	0.2027546000
2.1289850000	0.2027381000
2.1290800000	0.2027217000
2.1291740000	0.2027052000
2.1291750000	0.2719572000
2.1292700000	0.2719407000
2.1293650000	0.2719243000
2.1294600000	0.2719078000
2.1295550000	0.2718914000
2.1295560000	0.3411433000
2.1296510000	0.3411269000
2.1297460000	0.3411104000
2.1298410000	0.3410940000
2.1299360000	0.3410776000
2.1300310000	0.3410611000
2.1301260000	0.3410447000
2.1302210000	0.3410282000
2.1303160000	0.3410118000
2.1304110000	0.3409954000
2.1305060000	0.3409789000
2.1306010000	0.3409625000
2.1306960000	0.3409461000
2.1307910000	0.3409296000
2.1308850000	0.3409132000
2.1309800000	0.3408967000
2.1310750000	0.3408803000
2.1311700000	0.3408639000
2.1312650000	0.3408474000
2.1313600000	0.3408310000
2.1314550000	0.3408146000
2.1315500000	0.3407981000
2.1315510000	0.4100500000
2.1316460000	0.4100336000
2.1317410000	0.4100171000
2.1318360000	0.4100007000
2.1319310000	0.4099843000
2.1320260000	0.4099678000
2.1321210000	0.4099514000
2.1322160000	0.4099350000
2.1322170000	0.4791869000
2.1323120000	0.4791704000
2.1324070000	0.4791540000
2.1325010000	0.4791376000
2.1325960000	0.4791211000
2.1326910000	0.4791047000
2.1327860000	0.4790882000
2.1328810000	0.4790718000
2.1329760000	0.4790554000
2.1330710000	0.4790389000
2.1331660000	0.4790225000
2.1331670000	0.5482744000
2.1332620000	0.5482580000
2.1333570000	0.5482415000
2.1334520000	0.5482251000
2.1335470000	0.5482086000
2.1336420000	0.5481922000
2.1337370000	0.5481758000
2.1338320000	0.5481593000
2.1339270000	0.5481429000
2.1339280000	0.6173948000
2.1340230000	0.6173784000
2.1341180000	0.6173619000
2.1342120000	0.6173455000
2.1343070000	0.6173291000
2.1344020000	0.6173126000
2.1344970000	0.6172962000
2.1344980000	0.6865481000
2.1345930000	0.6865316000
2.1346880000	0.6865152000
2.1347830000	0.6864988000
2.1348780000	0.6864823000
2.1348790000	0.7557342000
2.1349740000	0.7557178000
2.1350690000	0.7557014000
2.1351640000	0.7556849000
2.1352590000	0.7556685000
2.1352600000	0.8249204000
2.1353550000	0.8249040000
2.1354500000	0.8248875000
2.1355450000	0.8248711000
2.1356400000	0.8248546000
2.1356410000	0.8941066000
2.1357350000	0.8940901000
2.1358300000	0.8940737000
2.1358310000	0.9633256000
2.1359260000	0.9633091000
2.1360210000	0.9632927000
2.1360220000	1.0325450000
2.1361170000	1.0325280000
2.1362120000	1.0325120000
2.1363070000	1.0324950000
2.1363080000	1.1017470000
2.1364030000	1.1017310000
2.1364980000	1.1017140000
2.1365930000	1.1016980000
2.1365940000	1.1709500000
2.1366890000	1.1709330000
2.1366900000	1.2401850000
2.1367850000	1.2401690000
2.1368800000	1.2401520000
2.1368810000	1.3094040000
2.1369760000	1.3093880000
2.1370710000	1.3093710000
2.1370720000	1.3786230000
2.1371670000	1.3786070000
2.1372620000	1.3785900000
2.1372620000	1.4478420000
2.1373570000	1.4478260000
2.1374520000	1.4478090000
2.1374530000	1.5170610000
2.1375480000	1.5170450000
2.1376430000	1.5170290000
2.1377380000	1.5170120000
2.1377390000	1.5862640000
2.1378340000	1.5862480000
2.1378350000	1.6554990000
2.1379300000	1.6554830000
2.1380250000	1.6554670000
2.1380260000	1.7247180000
2.1381210000	1.7247020000
2.1382160000	1.7246860000
2.1382170000	1.7939380000
2.1383120000	1.7939210000
2.1383130000	1.8631730000
2.1384080000	1.8631570000
2.1384090000	1.9324080000
2.1385040000	1.9323920000
2.1385050000	2.0016440000
2.1385060000	2.0708960000
2.1386010000	2.0708790000
2.1386960000	2.0708630000
2.1386970000	2.1401150000
2.1387910000	2.1400980000
2.1388860000	2.1400820000
2.1388870000	2.2093340000
2.1389820000	2.2093170000
2.1390770000	2.2093010000
2.1390780000	2.2785530000
2.1391730000	2.2785360000
2.1391740000	2.3477880000
2.1391750000	2.4170400000
2.1392700000	2.4170240000
2.1392710000	2.4862760000
2.1393660000	2.4862590000
2.1393670000	2.5555110000
2.1394620000	2.5554950000
2.1394630000	2.6247470000
2.1395580000	2.6247300000
2.1395590000	2.6939820000
2.1395600000	2.7632340000
2.1396550000	2.7632180000
2.1396560000	2.8324700000
2.1396570000	2.9017210000
2.1397520000	2.9017050000
2.1397530000	2.9709570000
2.1398480000	2.9709400000
2.1398490000	3.0401920000
2.1398500000	3.1094440000
2.1399450000	3.1094280000
2.1399460000	3.1786800000
2.1400410000	3.1786630000
2.1400420000	3.2479150000
2.1401360000	3.2478990000
2.1401370000	3.3171510000
2.1402320000	3.3171340000
2.1402330000	3.3863860000
2.1403280000	3.3863700000
2.1403290000	3.4556220000
2.1403300000	3.5248740000
2.1404250000	3.5248570000
2.1404260000	3.5941090000
2.1405210000	3.5940930000
2.1405220000	3.6633450000
2.1405230000	3.7325960000
2.1406180000	3.7325800000
2.1406190000	3.8018320000
2.1407140000	3.8018150000
2.1407150000	3.8710670000
2.1407160000	3.9403190000
2.1408110000	3.9403030000
2.1408120000	4.0095550000
2.1408130000	4.0788070000
2.1409080000	4.0787900000
2.1409090000	4.1480420000
2.1409100000	4.2172940000
2.1410050000	4.2172780000
2.1410070000	4.3557810000
2.1410080000	4.4250330000
2.1411030000	4.4250170000
2.1411040000	4.4942690000
2.1411050000	4.5635210000
2.1412000000	4.5635040000
2.1412010000	4.6327560000
2.1412020000	4.7020080000
2.1412960000	4.7019920000
2.1412970000	4.7712440000
2.1412980000	4.8404950000
2.1413930000	4.8404790000
2.1413960000	5.0482350000
2.1413970000	5.1174870000
2.1414920000	5.1174700000
2.1414930000	5.1867220000
2.1415880000	5.1867060000
2.1415890000	5.2559580000
2.1416840000	5.2559410000
2.1416850000	5.3251930000
2.1416860000	5.3944450000
2.1416870000	5.4636970000
2.1417820000	5.4636800000
2.1417840000	5.6021840000
2.1417850000	5.6714360000
2.1418820000	5.8099230000
2.1418830000	5.8791750000
2.1419780000	5.8791590000
2.1419810000	6.0869150000
2.1419820000	6.1561670000
2.1419830000	6.2254180000
2.1420780000	6.2254020000
2.1420790000	6.2946540000
2.1421740000	6.2946380000
2.1421750000	6.3638890000
2.1421760000	6.4331410000
2.1422710000	6.4331250000
2.1422730000	6.5716290000
2.1422740000	6.6408810000
2.1422750000	6.7101330000
2.1423690000	6.7101160000
2.1423720000	6.9178720000
2.1423730000	6.9871240000
2.1424680000	6.9871070000
2.1424700000	7.1256110000
2.1424710000	7.1948630000
2.1424720000	7.2641150000
2.1425670000	7.2640980000
2.1425680000	7.3333500000
2.1425690000	7.4026020000
2.1426640000	7.4025860000
2.1426670000	7.6103420000
2.1426680000	7.6795930000
2.1426690000	7.7488450000
2.1427640000	7.7488290000
2.1427670000	7.9565850000
2.1427680000	8.0258370000
2.1428630000	8.0258200000
2.1428660000	8.2335760000
2.1428670000	8.3028280000
2.1429620000	8.3028110000
2.1429640000	8.4413150000
2.1429650000	8.5105670000
2.1429660000	8.5798190000
2.1430610000	8.5798030000
2.1430630000	8.7183060000
2.1430640000	8.7875580000
2.1431590000	8.7875420000
2.1431620000	8.9952980000
2.1431640000	9.1338010000
2.1432580000	9.1337850000
2.1432610000	9.3415410000
2.1432620000	9.4107930000
2.1433570000	9.4107760000
2.1433600000	9.6185320000
2.1433620000	9.7570360000
2.1433630000	9.8262880000
2.1434580000	9.8262710000
2.1434620000	10.1032800000
2.1434630000	10.1725300000
2.1435580000	10.1725100000
2.1435600000	10.3110200000
2.1435610000	10.3802700000
2.1436560000	10.3802500000
2.1436620000	10.7957600000
2.1436650000	11.0035200000
2.1436660000	11.0727700000
2.1437610000	11.0727600000
2.1437640000	11.2805100000
2.1437650000	11.3497600000
2.1438600000	11.3497500000
2.1438630000	11.5575000000
2.1438650000	11.6960100000
2.1438660000	11.7652600000
2.1439610000	11.7652400000
2.1439650000	12.0422500000
2.1439660000	12.1807500000
2.1439670000	12.2500100000
2.1440620000	12.2499900000
2.1440660000	12.5270000000
2.1440680000	12.6655000000
2.1440690000	12.7347500000
