#Wavelength	Transmission
1.6079040000	0.0344474000
1.6080060000	0.0343702800
1.6081080000	0.0342931600
1.6082090000	0.0342160400
1.6083110000	0.0341389100
1.6084130000	0.0340617900
1.6085140000	0.0339846700
1.6086160000	0.0339075500
1.6087180000	0.0338304300
1.6088190000	0.0337533100
1.6089210000	0.0336761900
1.6090230000	0.0335990700
1.6091250000	0.0335219500
1.6092260000	0.0334448200
1.6093280000	0.0333677000
1.6094300000	0.0332905800
1.6095310000	0.0332134600
1.6096330000	0.0331363400
1.6097350000	0.0330592200
1.6098370000	0.0329821000
1.6098370000	0.1037535000
1.6099380000	0.1036764000
1.6100400000	0.1035993000
1.6101420000	0.1035221000
1.6102430000	0.1034450000
1.6103450000	0.1033679000
1.6104470000	0.0325193700
1.6105480000	0.0324422500
1.6106500000	0.0323651300
1.6107520000	0.0322880100
1.6108540000	0.0322108900
1.6109550000	0.0321337700
1.6110570000	0.0320566500
1.6111590000	0.0319795200
1.6112600000	0.0319024000
1.6113620000	0.0318252800
1.6114640000	0.0317481600
1.6115660000	0.0316710400
1.6116670000	0.0315939200
1.6117690000	0.0315168000
1.6118710000	0.0314396800
1.6119720000	0.0313625600
1.6120740000	0.0312854400
1.6121760000	0.0312083100
1.6122780000	0.0311311900
1.6123790000	0.0310540700
1.6124810000	0.0309769500
1.6125830000	0.0308998300
1.6126840000	0.0308227100
1.6127860000	0.0307455900
1.6128880000	0.0306684700
1.6129890000	0.0305913500
1.6130910000	0.0305142300
1.6131930000	0.0304371000
1.6132950000	0.0303599800
1.6133960000	0.0302828600
1.6134980000	0.0302057400
1.6136000000	0.0301286200
1.6137010000	0.0300515000
1.6138030000	0.0299743800
1.6139050000	0.0298972600
1.6140070000	0.0298201400
1.6141080000	0.0297430100
1.6142100000	0.0296658900
1.6143120000	0.0295887700
1.6144130000	0.0295116500
1.6145150000	0.0294345300
1.6146170000	0.0293574100
1.6147180000	0.0292802900
1.6148200000	0.0292031700
1.6149220000	0.0291260500
1.6150240000	0.0290489300
1.6151250000	0.0289718000
1.6152270000	0.0288946800
1.6153290000	0.0288175600
1.6154300000	0.0287404400
1.6154300000	0.0995118500
1.6155320000	0.0994347300
1.6156340000	0.0993576100
1.6157360000	0.0992804900
1.6158370000	0.0992033700
1.6159390000	0.0991262400
1.6160410000	0.0990491200
1.6161420000	0.0989720000
1.6162440000	0.0988948800
1.6163460000	0.0988177600
1.6164480000	0.0987406400
1.6165490000	0.0278921100
1.6166510000	0.0278149900
1.6167530000	0.0277378700
1.6168540000	0.0276607500
1.6169560000	0.0275836300
1.6169560000	0.0983550300
1.6170580000	0.0982779100
1.6171590000	0.0274293800
1.6171590000	0.0982007900
1.6172610000	0.0981236700
1.6173630000	0.0980465500
1.6174650000	0.0979694300
1.6175660000	0.0978923100
1.6176680000	0.0270437800
1.6177700000	0.0269666600
1.6178710000	0.0268895400
1.6179730000	0.0268124200
1.6180750000	0.0267352900
1.6181770000	0.0266581700
1.6182780000	0.0265810500
1.6182780000	0.0973524600
1.6183800000	0.0972753400
1.6184820000	0.0971982200
1.6185830000	0.0971211000
1.6186850000	0.0970439800
1.6187870000	0.0969668600
1.6188880000	0.0968897300
1.6189900000	0.0968126100
1.6190920000	0.0967354900
1.6191940000	0.0966583700
1.6192950000	0.0965812500
1.6193970000	0.0965041300
1.6194990000	0.0964270100
1.6196000000	0.0963498900
1.6197020000	0.0962727700
1.6198040000	0.0961956400
1.6198040000	0.1669671000
1.6199060000	0.1668899000
1.6200070000	0.1668128000
1.6201090000	0.1667357000
1.6202110000	0.1666586000
1.6203120000	0.1665814000
1.6204140000	0.1665043000
1.6205160000	0.1664272000
1.6206180000	0.1663501000
1.6207190000	0.1662730000
1.6208210000	0.1661958000
1.6209230000	0.1661187000
1.6210240000	0.1660416000
1.6211260000	0.1659645000
1.6212280000	0.1658874000
1.6213290000	0.1658102000
1.6214310000	0.1657331000
1.6214310000	0.2365045000
1.6215330000	0.2364274000
1.6216350000	0.2363503000
1.6217360000	0.2362732000
1.6218380000	0.2361960000
1.6219400000	0.2361189000
1.6220410000	0.2360418000
1.6221430000	0.2359647000
1.6222450000	0.2358876000
1.6223470000	0.2358104000
1.6223470000	0.3065818000
1.6224480000	0.3065047000
1.6225500000	0.3064276000
1.6226520000	0.3063505000
1.6227530000	0.3062734000
1.6227530000	0.3770448000
1.6228550000	0.3769676000
1.6229570000	0.3768905000
1.6230580000	0.3768134000
1.6231600000	0.3767363000
1.6231600000	0.4475077000
1.6232620000	0.4474306000
1.6233640000	0.4473535000
1.6234650000	0.4472763000
1.6235670000	0.4471992000
1.6236690000	0.4471221000
1.6237700000	0.4470450000
1.6238720000	0.4469678000
1.6238720000	0.5177393000
1.6239740000	0.5176621000
1.6240760000	0.5175850000
1.6240760000	0.5883564000
1.6241770000	0.5882793000
1.6242790000	0.5882022000
1.6243810000	0.5881251000
1.6244820000	0.5880479000
1.6245840000	0.5879708000
1.6246860000	0.5878937000
1.6246860000	0.6586651000
1.6247880000	0.6585880000
1.6248890000	0.6585109000
1.6249910000	0.6584337000
1.6250930000	0.6583566000
1.6251940000	0.6582795000
1.6252960000	0.6582024000
1.6252960000	0.7289738000
1.6253980000	0.7288967000
1.6254990000	0.7288195000
1.6256010000	0.7287424000
1.6257030000	0.7286653000
1.6258050000	0.7285882000
1.6259060000	0.7285111000
1.6260080000	0.7284339000
1.6260080000	0.7992053000
1.6261100000	0.7991282000
1.6262110000	0.7990511000
1.6263130000	0.7989740000
1.6263130000	0.8697454000
1.6264150000	0.8696683000
1.6265170000	0.8695911000
1.6265170000	0.9403626000
1.6266180000	0.9402854000
1.6267200000	0.9402083000
1.6268220000	0.9401312000
1.6268220000	1.0109030000
1.6269230000	1.0108250000
1.6270250000	1.0107480000
1.6271270000	1.0106710000
1.6271270000	1.0814430000
1.6272280000	1.0813660000
1.6273300000	1.0812880000
1.6274320000	1.0812110000
1.6274320000	1.1519830000
1.6275340000	1.1519060000
1.6276350000	1.1518280000
1.6276350000	1.2226000000
