#Wavelength	Transmission
1.3968460000	0.0188350700
1.3972330000	0.0184669600
1.3976210000	0.0180988500
1.3980080000	0.0177307400
1.3983950000	0.0173626200
1.3987830000	0.0169945100
1.3991700000	0.0166264000
1.3995580000	0.0162582900
1.3999450000	0.0158901700
1.4003320000	0.0155220600
1.4007200000	0.0151539500
1.4011070000	0.0147858400
1.4014940000	0.0144177300
1.4018820000	0.0140496100
1.4022690000	0.0136815000
1.4026570000	0.0133133900
1.4030440000	0.0129452800
1.4034310000	0.0125771700
1.4038190000	0.0122090500
1.4042060000	0.0118409400
1.4045930000	0.0114728300
1.4049810000	0.0111047200
1.4053680000	0.0107366000
1.4057560000	0.0103684900
1.4061430000	0.0100003800
1.4065300000	0.0096322680
1.4069180000	0.0092641560
1.4073050000	0.0088960440
1.4076920000	0.0085279320
1.4080800000	0.0081598200
1.4084670000	0.0077917070
1.4088550000	0.0074235950
1.4092420000	0.0070554830
1.4096290000	0.0066873710
1.4100170000	0.0063192590
1.4104040000	0.0059511470
1.4107910000	0.0055830340
1.4111790000	0.0052149220
1.4115660000	0.0048468100
1.4119540000	0.0044786980
1.4123410000	0.0041105860
1.4127280000	0.0037424740
1.4131160000	0.0033743610
1.4135030000	0.0030062490
1.4138900000	0.0026381370
1.4142780000	0.0022700250
1.4146650000	0.0019019130
1.4150530000	0.0015338010
1.4154400000	0.0011656890
1.4154420000	0.1120288000
1.4158290000	0.1116607000
1.4162160000	0.1112926000
1.4166040000	0.1109245000
1.4169890000	-0.0003067601
1.4173770000	-0.0006748723
1.4177640000	-0.0010429840
1.4181520000	-0.0014110970
1.4185390000	-0.0017792090
1.4189260000	-0.0021473210
1.4193140000	-0.0025154330
1.4197010000	-0.0028835450
1.4200880000	-0.0032516570
1.4204760000	-0.0036197700
1.4208630000	-0.0039878820
1.4212510000	-0.0043559940
1.4216380000	-0.0047241060
1.4220250000	-0.0050922180
1.4224130000	-0.0054603300
1.4228000000	-0.0058284430
1.4231880000	-0.0061965550
1.4235750000	-0.0065646670
1.4239620000	-0.0069327790
1.4243500000	-0.0073008910
1.4247370000	-0.0076690030
1.4251240000	-0.0080371160
1.4255120000	-0.0084052280
1.4258990000	-0.0087733400
1.4262870000	-0.0091414520
1.4266740000	-0.0095095640
1.4270610000	-0.0098776760
1.4274490000	-0.0102457900
1.4278360000	-0.0106139000
1.4282230000	-0.0109820100
1.4286110000	-0.0113501200
1.4289980000	-0.0117182400
1.4293860000	-0.0120863500
1.4297730000	-0.0124544600
1.4301600000	-0.0128225700
1.4305480000	-0.0131906900
1.4309350000	-0.0135588000
1.4313220000	-0.0139269100
1.4317100000	-0.0142950200
1.4320970000	-0.0146631300
1.4324850000	-0.0150312500
1.4328720000	-0.0153993600
1.4332590000	-0.0157674700
1.4336470000	-0.0161355800
1.4340340000	-0.0165037000
1.4344210000	-0.0168718100
1.4348090000	-0.0172399200
1.4351960000	-0.0176080300
1.4355840000	-0.0179761400
1.4359710000	-0.0183442600
1.4363580000	-0.0187123700
1.4367460000	-0.0190804800
1.4371330000	-0.0194485900
1.4375200000	-0.0198167000
1.4375220000	0.0910464100
1.4379100000	0.0906783000
1.4382970000	0.0903101800
1.4386840000	0.0899420700
1.4390720000	0.0895739600
1.4394590000	0.0892058500
1.4398460000	0.0888377300
1.4398480000	0.1997008000
1.4402360000	0.1993327000
1.4406230000	0.1989646000
1.4410100000	0.1985965000
1.4413980000	0.1982284000
1.4417850000	0.1978603000
1.4421720000	0.1974922000
1.4425600000	0.1971241000
1.4429470000	0.1967560000
1.4433350000	0.1963878000
1.4437220000	0.1960197000
1.4437240000	0.3068828000
1.4441110000	0.3065147000
1.4444980000	0.3061466000
1.4445000000	0.4170097000
1.4448870000	0.4166416000
1.4452750000	0.4162735000
1.4452770000	0.5271366000
1.4456640000	0.5267685000
1.4460510000	0.5264004000
1.4464390000	0.5260323000
1.4468260000	0.5256642000
1.4472130000	0.5252961000
1.4476010000	0.5249279000
1.4476030000	0.6357911000
1.4479900000	0.6354229000
1.4483770000	0.6350548000
1.4483790000	0.7459179000
1.4487660000	0.7455498000
1.4491540000	0.7451817000
1.4495410000	0.7448136000
1.4495430000	0.8556767000
1.4499300000	0.8553086000
1.4503180000	0.8549405000
1.4503190000	0.9658036000
1.4507070000	0.9654355000
1.4510940000	0.9650674000
1.4510960000	1.0759300000
1.4514830000	1.0755620000
1.4514850000	1.1864250000
1.4518720000	1.1860570000
1.4522600000	1.1856890000
1.4522610000	1.2965520000
1.4526490000	1.2961840000
1.4530360000	1.2958160000
1.4530380000	1.4066790000
1.4534250000	1.4063110000
1.4534270000	1.5171740000
1.4538140000	1.5168060000
1.4538160000	1.6276690000
1.4542030000	1.6273010000
1.4542050000	1.7381640000
1.4545930000	1.7377960000
1.4545940000	1.8486590000
1.4549820000	1.8482910000
1.4549830000	1.9591540000
1.4553710000	1.9587860000
1.4557580000	1.9584180000
1.4557600000	2.0692810000
1.4557620000	2.1801440000
1.4561490000	2.1797760000
1.4561510000	2.2906390000
1.4565380000	2.2902710000
1.4565400000	2.4011340000
1.4565410000	2.5119970000
1.4569290000	2.5116290000
1.4569310000	2.6224920000
1.4573180000	2.6221240000
1.4573200000	2.7329870000
1.4577070000	2.7326190000
1.4577090000	2.8434820000
1.4577100000	2.9543460000
1.4580980000	2.9539770000
1.4581000000	3.0648410000
1.4584890000	3.1753360000
1.4584900000	3.2861990000
1.4588780000	3.2858310000
1.4588810000	3.5075570000
1.4588830000	3.6184200000
1.4592700000	3.6180520000
1.4592720000	3.7289150000
1.4592740000	3.8397780000
1.4596610000	3.8394100000
1.4596640000	4.0611360000
1.4600520000	4.0607680000
1.4600550000	4.2824940000
1.4604430000	4.2821260000
1.4604460000	4.5038520000
1.4604480000	4.6147150000
1.4608350000	4.6143470000
1.4608390000	4.8360740000
1.4608400000	4.9469370000
1.4612280000	4.9465690000
1.4612290000	5.0574320000
