Wavelength	Transmission
1.5423600000	0.1063460000
1.5424520000	0.1062906000
1.5425450000	0.1062352000
1.5426370000	0.1061798000
1.5427300000	0.1061244000
1.5428220000	0.1060690000
1.5429150000	0.1060136000
1.5430070000	0.1059583000
1.5431000000	0.1059029000
1.5431920000	0.1058475000
1.5432850000	0.1057921000
1.5433770000	0.1057367000
1.5434700000	0.1056813000
1.5435620000	0.1056259000
1.5436550000	0.1055705000
1.5437470000	0.1055151000
1.5438400000	0.1054598000
1.5439330000	0.1054044000
1.5440250000	0.1053490000
1.5441180000	0.1052936000
1.5442100000	0.1052382000
1.5443030000	0.1051828000
1.5443030000	0.1770217000
1.5443950000	0.1769663000
1.5444880000	0.1050720000
1.5444880000	0.1769110000
1.5445800000	0.1768556000
1.5446730000	0.1768002000
1.5447650000	0.1767448000
1.5448580000	0.1766894000
1.5449510000	0.1766340000
1.5450430000	0.1765786000
1.5451350000	0.1046843000
1.5452280000	0.1046289000
1.5453200000	0.1045735000
1.5454130000	0.1045182000
1.5455050000	0.1044628000
1.5455980000	0.1044074000
1.5456900000	0.1043520000
1.5457830000	0.1042966000
1.5458750000	0.1042412000
1.5459680000	0.1041858000
1.5460610000	0.1041304000
1.5461530000	0.1040750000
1.5462460000	0.1040197000
1.5463380000	0.1039643000
1.5464310000	0.1039089000
1.5465230000	0.1038535000
1.5466160000	0.1037981000
1.5467080000	0.1037427000
1.5468010000	0.1036873000
1.5468930000	0.1036319000
1.5469860000	0.1035765000
1.5470780000	0.1035212000
1.5471710000	0.1034658000
1.5472630000	0.1034104000
1.5473560000	0.1033550000
1.5474480000	0.1032996000
1.5475410000	0.1032442000
1.5476330000	0.1031888000
1.5477260000	0.1031334000
1.5478180000	0.1030781000
1.5479110000	0.1030227000
1.5480030000	0.1029673000
1.5480960000	0.1029119000
1.5481890000	0.1028565000
1.5482810000	0.1028011000
1.5483740000	0.1027457000
1.5484660000	0.1026903000
1.5485590000	0.1026349000
1.5486510000	0.1025796000
1.5487440000	0.1025242000
1.5488360000	0.1024688000
1.5489290000	0.1024134000
1.5490210000	0.1023580000
1.5491140000	0.1023026000
1.5492060000	0.1022472000
1.5492990000	0.1021918000
1.5493910000	0.1021364000
1.5494840000	0.1020811000
1.5495760000	0.1020257000
1.5496690000	0.1019703000
1.5496690000	0.1738092000
1.5497620000	0.1737538000
1.5498540000	0.1736984000
1.5499470000	0.1736430000
1.5500390000	0.1735876000
1.5501320000	0.1735323000
1.5502240000	0.1734769000
1.5503170000	0.1734215000
1.5504090000	0.1733661000
1.5505020000	0.1733107000
1.5505940000	0.1732553000
1.5506870000	0.1013610000
1.5507790000	0.1013056000
1.5508720000	0.1012502000
1.5509640000	0.1011948000
1.5510570000	0.1011395000
1.5511490000	0.1010841000
1.5512420000	0.1010287000
1.5513340000	0.1009733000
1.5514270000	0.1009179000
1.5514270000	0.1727568000
1.5515200000	0.1727014000
1.5516120000	0.1008071000
1.5517040000	0.1007517000
1.5517970000	0.1006963000
1.5518890000	0.1006410000
1.5519820000	0.1005856000
1.5520740000	0.1005302000
1.5521670000	0.1004748000
1.5522590000	0.1004194000
1.5523520000	0.1003640000
1.5524440000	0.1003086000
1.5525370000	0.1002532000
1.5526300000	0.1001978000
1.5527220000	0.1001425000
1.5528150000	0.1000871000
1.5529070000	0.1000317000
1.5530000000	0.0999762900
1.5530920000	0.0999209100
1.5531850000	0.0998655200
1.5532770000	0.0998101300
1.5533700000	0.0997547400
1.5534620000	0.0996993500
1.5535550000	0.0996439600
1.5536470000	0.0995885700
1.5536480000	0.1714275000
1.5537400000	0.1713721000
1.5538330000	0.1713167000
1.5539250000	0.1712613000
1.5540180000	0.1712059000
1.5541100000	0.1711506000
1.5542030000	0.1710952000
1.5542950000	0.1710398000
1.5543870000	0.0991454700
1.5543880000	0.1709844000
1.5544800000	0.1709290000
1.5545730000	0.1708736000
1.5546650000	0.1708182000
1.5547580000	0.1707628000
1.5548500000	0.1707074000
1.5549430000	0.1706521000
1.5550350000	0.1705967000
1.5551280000	0.1705413000
1.5552200000	0.1704859000
1.5553130000	0.1704305000
1.5554050000	0.1703751000
1.5554980000	0.1703197000
1.5555900000	0.1702643000
1.5556830000	0.1702089000
1.5557750000	0.1701536000
1.5558680000	0.1700982000
1.5559610000	0.1700428000
1.5560530000	0.1699874000
1.5561460000	0.1699320000
1.5562380000	0.1698766000
1.5563310000	0.1698212000
1.5563310000	0.2416601000
1.5564230000	0.2416048000
1.5565160000	0.2415494000
1.5566080000	0.2414940000
1.5567010000	0.2414386000
1.5567930000	0.2413832000
1.5568860000	0.2413278000
1.5569790000	0.2412724000
1.5570710000	0.2412170000
1.5571640000	0.2411617000
1.5572560000	0.2411063000
1.5573490000	0.2410509000
