#Wavelength	Transmission
1.06247400	-0.0034960740
1.06275100	-0.0035737650
1.06302800	-0.0036514550
1.06330600	-0.0037291460
1.06358300	-0.0038068360
1.06386000	-0.0038845270
1.06413700	-0.0039622180
1.06441400	-0.0040399080
1.06469200	-0.0041175990
1.06496900	-0.0041952890
1.06524600	-0.0042729800
1.06552300	-0.0043506700
1.06580000	-0.0044283610
1.06607800	-0.0045060510
1.06635500	-0.0045837420
1.06663200	-0.0046614320
1.06690900	-0.0047391230
1.06718600	-0.0048168130
1.06746400	-0.0048945040
1.06774100	-0.0049721950
1.06801800	-0.0050498850
1.06829500	-0.0051275760
1.06857200	-0.0052052660
1.06885000	-0.0052829570
1.06912700	-0.0053606470
1.06940400	-0.0054383380
1.06968100	-0.0055160280
1.06995800	-0.0055937190
1.07023600	-0.0056714090
1.07051300	-0.0057491000
1.07079000	-0.0058267900
1.07106700	-0.0059044810
1.07134400	-0.0059821720
1.07162200	-0.0060598620
1.07189900	-0.0061375530
1.07217600	-0.0062152430
1.07245300	-0.0062929340
1.07273000	-0.0063706240
1.07300800	-0.0064483150
1.07328500	-0.0065260050
1.07356200	-0.0066036960
1.07383900	-0.0066813860
1.07411600	-0.0067590770
1.07411700	0.1053484000
1.07439400	0.1052707000
1.07467100	0.1051930000
1.07494900	0.1051153000
1.07522500	-0.0070698390
1.07550200	-0.0071475300
1.07578000	-0.0072252200
1.07605700	-0.0073029110
1.07633400	-0.0073806010
1.07661100	-0.0074582920
1.07688800	-0.0075359820
1.07716600	-0.0076136730
1.07744300	-0.0076913630
1.07772000	-0.0077690540
1.07799700	-0.0078467450
1.07827400	-0.0079244350
1.07855200	-0.0080021260
1.07882900	-0.0080798160
1.07910600	-0.0081575070
1.07938300	-0.0082351970
1.07966000	-0.0083128880
1.07993800	-0.0083905780
1.08021500	-0.0084682690
1.08049200	-0.0085459590
1.08076900	-0.0086236500
1.08104600	-0.0087013400
1.08132400	-0.0087790310
1.08160100	-0.0088567220
1.08187800	-0.0089344120
1.08215500	-0.0090121030
1.08243200	-0.0090897930
1.08271000	-0.0091674840
1.08298700	-0.0092451740
1.08326400	-0.0093228650
1.08354100	-0.0094005550
1.08381800	-0.0094782460
1.08409600	-0.0095559360
1.08437300	-0.0096336270
1.08465000	-0.0097113170
1.08492700	-0.0097890080
1.08520400	-0.0098666990
1.08548200	-0.0099443890
1.08575900	-0.0100220800
1.08603600	-0.0100997700
1.08631300	-0.0101774600
1.08659000	-0.0102551500
1.08686800	-0.0103328400
1.08714500	-0.0104105300
1.08742200	-0.0104882200
1.08769900	-0.0105659100
1.08797600	-0.0106436000
1.08825400	-0.0107212900
1.08853100	-0.0107989900
1.08880800	-0.0108766800
1.08908500	-0.0109543700
1.08936200	-0.0110320600
1.08964000	-0.0111097500
1.08991700	-0.0111874400
1.09019400	-0.0112651300
1.09047100	-0.0113428200
1.09074800	-0.0114205100
1.09102600	-0.0114982000
1.09130300	-0.0115758900
1.09157900	-0.1237610000
1.09185700	-0.1238387000
1.09185700	-0.0117312700
1.09213400	-0.0118089600
1.09241200	-0.0118866500
1.09268900	-0.0119643400
1.09296600	-0.0120420300
1.09324300	-0.0121197200
1.09352000	-0.0121974100
1.09379800	-0.0122751100
1.09407500	-0.0123528000
1.09435200	-0.0124304900
1.09462900	-0.0125081800
1.09490600	-0.0125858700
1.09518400	-0.0126635600
1.09546100	-0.0127412500
1.09573800	-0.0128189400
1.09601500	-0.0128966300
1.09629200	-0.0129743200
1.09657000	-0.0130520100
1.09684700	-0.0131297000
1.09712400	-0.0132073900
1.09740100	-0.0132850800
1.09767800	-0.0133627700
1.09767900	0.0987446800
1.09795600	0.0986669900
1.09823300	-0.0135181500
1.09851000	-0.0135958400
1.09878700	-0.0136735400
1.09906400	-0.0137512300
1.09934200	-0.0138289200
1.09961900	-0.0139066100
1.09989600	-0.0139843000
1.10017300	-0.0140619900
1.10045000	-0.0141396800
1.10072800	-0.0142173700
1.10072800	0.0978900800
1.10100500	0.0978123900
1.10128300	0.0977347000
1.10156000	0.0976570100
1.10183700	0.0975793200
1.10211400	0.0975016300
1.10239100	0.0974239400
1.10266900	0.0973462500
1.10294600	0.0972685600
1.10322300	0.0971908700
1.10350000	-0.0149942700
1.10377700	-0.0150719600
1.10405400	-0.0151496600
1.10433100	-0.0152273500
1.10460800	-0.0153050400
1.10488600	-0.0153827300
1.10516300	-0.0154604200
1.10544000	-0.0155381100
1.10571700	-0.0156158000
1.10599400	-0.0156934900
1.10627200	-0.0157711800
1.10654900	-0.0158488700
1.10682600	-0.0159265600
1.10710300	-0.0160042500
1.10738000	-0.0160819400
1.10765800	-0.0161596300
1.10793500	-0.0162373200
1.10821200	-0.0163150100
1.10848900	-0.0163927000
1.10876600	-0.0164703900
1.10904400	-0.0165480900
1.10932100	-0.0166257800
1.10959800	-0.0167034700
1.10987500	-0.0167811600
1.11015200	-0.0168588500
1.11043000	-0.0169365400
1.11070700	-0.0170142300
1.11098400	-0.0170919200
1.11126100	-0.0171696100
1.11153800	-0.0172473000
1.11181600	-0.0173249900
1.11209300	-0.0174026800
1.11237000	-0.0174803700
1.11264700	-0.0175580600
1.11292400	-0.0176357500
1.11320200	-0.0177134400
1.11347900	-0.0177911300
1.11375600	-0.0178688200
1.11403300	-0.0179465100
1.11431000	-0.0180242100
1.11458800	-0.0181019000
1.11486500	-0.0181795900
1.11514200	-0.0182572800
1.11541900	-0.0183349700
1.11569600	-0.0184126600
1.11597400	-0.0184903500
1.11625100	-0.0185680400
1.11652800	-0.0186457300
1.11680500	-0.0187234200
1.11708200	-0.0188011100
1.11736000	-0.0188788000
1.11763700	-0.0189564900
1.11791400	-0.0190341800
1.11819100	-0.0191118700
1.11846800	-0.0191895600
1.11874600	-0.0192672500
1.11902300	-0.0193449400
1.11930000	-0.0194226300
1.11957700	-0.0195003300
1.11985400	-0.0195780200
1.12013200	-0.0196557100
1.12040900	-0.0197334000
1.12068600	-0.0198110900
1.12096300	-0.0198887800
1.12124000	-0.0199664700
1.12151800	-0.0200441600
1.12179500	-0.0201218500
1.12207200	-0.0201995400
1.12234900	-0.0202772300
1.12262600	-0.0203549200
1.12290400	-0.0204326100
1.12318100	-0.0205103000
1.12345800	-0.0205879900
1.12373500	-0.0206656800
1.12401200	-0.0207433700
1.12429000	-0.0208210600
1.12456700	-0.0208987600
1.12484400	-0.0209764500
1.12512100	-0.0210541400
1.12539800	-0.0211318300
1.12567600	-0.0212095200
1.12595300	-0.0212872100
1.12623000	-0.0213649000
1.12650700	-0.0214425900
1.12678400	-0.0215202800
1.12706200	-0.0215979700
1.12733900	-0.0216756600
1.12733900	0.0904317900
1.12761700	0.0903541000
1.12789400	0.0902764100
1.12817100	0.0901987200
1.12844800	0.0901210300
1.12872500	-0.0220641100
1.12900200	-0.0221418000
1.12927900	-0.0222194900
1.12955600	-0.0222971800
1.12983400	-0.0223748800
1.13011100	-0.0224525700
1.13038800	-0.0225302600
1.13066500	-0.0226079500
1.13094200	-0.0226856400
1.13122000	-0.0227633300
1.13149700	-0.0228410200
1.13177400	-0.0229187100
1.13205100	-0.0229964000
1.13232800	-0.0230740900
1.13260600	-0.0231517800
1.13288300	-0.0232294700
1.13316000	-0.0233071600
1.13343700	-0.0233848500
1.13371400	-0.0234625400
1.13399200	-0.0235402300
1.13426900	-0.0236179200
1.13454600	-0.0236956100
1.13482300	-0.0237733100
1.13510000	-0.0238510000
1.13537800	-0.0239286900
1.13565500	-0.0240063800
1.13593200	-0.0240840700
1.13620900	-0.0241617600
1.13648600	-0.0242394500
1.13676400	-0.0243171400
1.13704100	-0.0243948300
1.13731800	-0.0244725200
1.13759500	-0.0245502100
1.13787200	-0.0246279000
1.13815000	-0.0247055900
1.13842700	-0.0247832800
1.13870400	-0.0248609700
1.13898100	-0.0249386600
1.13925800	-0.0250163500
1.13953600	-0.0250940400
1.13981300	-0.0251717300
1.14009000	-0.0252494300
1.14036700	-0.0253271200
1.14064400	-0.0254048100
1.14092200	-0.0254825000
1.14119900	-0.0255601900
1.14147600	-0.0256378800
1.14175300	-0.0257155700
1.14175400	0.0863918800
1.14203100	0.0863141900
1.14230800	0.0862365000
1.14258500	0.0861588100
1.14286300	0.0860811200
1.14314000	0.0860034300
1.14341700	0.0859257400
1.14369400	0.0858480500
1.14397100	0.0857703600
1.14397200	0.1978778000
1.14424900	0.1978001000
1.14452600	0.1977224000
1.14480400	0.1976447000
1.14508100	0.1975670000
1.14535800	0.1974894000
1.14563500	0.1974117000
1.14563600	0.3095191000
1.14591300	0.3094414000
1.14619000	0.3093637000
1.14619100	0.4214712000
1.14646800	0.4213935000
1.14646900	0.5335009000
1.14674600	0.5334232000
1.14702300	0.5333456000
1.14730000	0.5332679000
1.14730100	0.6453753000
1.14757800	0.6452976000
1.14757900	0.7574051000
1.14785600	0.7573274000
1.14813300	0.7572497000
1.14979800	1.0931060000
1.15007500	1.0930280000
1.15007600	1.2051360000
1.15035300	1.2050580000
1.15035400	1.3171650000
1.15063100	1.3170880000
1.15063200	1.4291950000
1.15063200	1.5413030000
1.15090900	1.5412250000
1.15091000	1.6533320000
1.15091100	1.7654400000
1.15118800	1.7653620000
1.15118900	1.8774700000
1.15146600	1.8773920000
1.15146600	1.9894990000
1.15174400	1.9894220000
1.15174400	2.1015290000
1.15202100	2.1014510000
1.15229900	2.1013740000
1.15229900	2.2134810000
1.15368900	2.8857370000
1.15424600	3.3340120000
1.15703200	5.9117060000
1.15703300	6.0238140000
1.15731100	6.2479510000
1.15731200	6.3600580000
1.15758900	6.3599810000
1.15759000	6.4720880000
1.15759000	6.5841960000
1.15786900	6.9204400000
1.15787000	7.0325480000
1.15787200	7.3688700000
1.15787200	7.4809770000
1.15815000	7.4809000000
1.15815100	7.7051150000
1.15815100	7.8172220000
1.15871000	8.4897110000
1.15871600	9.6107860000
1.15899100	9.2743860000
1.15899300	9.6107080000
1.15927000	9.6106310000
1.15927100	9.7227380000
1.15954800	9.7226600000
1.15954900	9.8347680000
1.15982600	9.8346900000
1.15982600	9.9467980000
1.16039500	12.5251100000
1.16039600	12.6372200000
1.16039800	13.0856500000
1.16152300	15.8880300000
1.16152300	16.0001300000
1.16152400	16.1122400000
1.16180300	16.4484900000
1.16209100	18.3542300000
1.16209200	18.5784500000
1.16209300	18.6905600000
1.16209900	19.8116300000
1.16237500	19.6994500000
1.16237700	19.9236600000
1.16265400	19.9235800000
1.16265600	20.2599100000
1.16265700	20.5962300000
1.16265800	20.7083400000
1.16265900	20.8204400000
1.16293100	19.9235100000
1.16293200	20.0356100000
1.16293200	20.1477200000
1.16294200	21.8293300000
1.16294200	21.9414400000
1.16322600	23.0624400000
1.16322700	23.3987600000
1.16322900	23.6229700000
1.16322900	23.7350800000
1.16351800	25.8650500000
1.16352000	26.2013700000
1.16352100	26.4255800000
1.16352200	26.5376900000
1.16380500	27.6586900000
1.16380700	27.8829000000
1.16380700	27.9950100000
1.16380800	28.1071200000
1.16408500	28.1070400000
1.16409200	29.3402200000
1.16409600	30.0128700000
1.16409700	30.2370800000
1.16437400	30.2370000000
1.16465100	30.2369300000
1.16465200	30.3490300000
1.16467100	33.7122600000
1.16467300	34.1606900000
1.16467400	34.3849000000
1.16467500	34.4970100000
1.16467600	34.6091200000
1.16495000	34.1606100000
1.16495800	35.6180000000
1.16496100	36.0664300000
1.16496100	36.1785400000
1.16523900	36.1784600000
1.16524400	37.1874300000
1.16524700	37.7479700000
1.16524900	37.9721800000
1.16524900	38.0842900000
1.16525000	38.1964000000
1.16526200	40.4385500000
1.16553600	39.7658300000
1.16554100	40.6626800000
1.16554300	41.1111100000
1.16554400	41.3353300000
1.16554500	41.4474400000
1.16554900	42.2321900000
1.16582700	42.2321100000
1.16583300	43.4652900000
1.16583700	44.0258300000
1.16583800	44.3621500000
1.16583900	44.4742600000
1.16584000	44.5863700000
1.16612700	46.3800100000
1.16613100	47.0526500000
1.16613100	47.1647600000
1.16613200	47.2768700000
1.16640900	47.2767900000
1.16641500	48.3978700000
1.16641800	48.9584000000
1.16642000	49.2947300000
1.16669700	49.2946500000
1.16670400	50.4157200000
1.16670600	50.8641500000
1.16698300	50.8640700000
1.16699800	53.5546500000
1.16700400	54.5636200000
1.16700400	54.6757300000
1.16728200	54.6756500000
1.16729000	56.1330500000
1.16729300	56.6935800000
1.16729300	56.8056900000
1.16757100	56.8056100000
1.16757700	58.0388000000
1.16758100	58.7114400000
1.16758200	58.8235500000
1.16758200	58.9356600000
1.16786000	58.9355800000
1.16787300	61.2898300000
1.16787900	62.4109100000
1.16788000	62.5230200000
1.16815700	62.5229400000
1.16816300	63.6440100000
1.16816500	63.9803300000
1.16816500	64.0924400000
1.16844300	64.0923600000
1.16844900	65.3255500000
1.16845300	65.8860800000
1.16845300	65.9981900000
1.16845400	66.1103000000
1.16873100	66.1102200000
1.16873800	67.3434000000
1.16874000	67.7918300000
1.16874100	67.9039400000
1.16901800	67.9038600000
1.16902600	69.3612600000
1.16902900	69.8096900000
1.16930600	69.8096100000
1.16931000	70.4822600000
1.16931000	70.5943600000
1.16931100	70.7064700000
1.16958800	70.7063900000
1.16959900	72.6122200000
1.16960400	73.5090800000
1.16988100	73.5090000000
1.16988600	74.4058600000
1.16988800	74.8542900000
