#Wavelength	Transmission
1.9038730000	-0.0036146050
1.9038750000	0.1083659000
1.9042620000	0.1080044000
1.9046500000	0.1076429000
1.9050370000	0.1072815000
1.9054250000	0.1069200000
1.9058120000	0.1065586000
1.9061990000	0.1061971000
1.9065850000	-0.0061448290
1.9069720000	-0.0065062890
1.9073590000	-0.0068677500
1.9077470000	-0.0072292100
1.9077490000	0.1047513000
1.9081360000	0.1043898000
1.9085230000	0.1040283000
1.9089090000	-0.0083135920
1.9092960000	-0.0086750520
1.9096840000	-0.0090365130
1.9100710000	-0.0093979730
1.9100730000	0.1025825000
1.9104600000	0.1022210000
1.9108470000	0.1018596000
1.9112350000	0.1014981000
1.9116220000	0.1011366000
1.9120090000	0.1007752000
1.9123950000	-0.0115667400
1.9123970000	0.1004137000
1.9127840000	0.1000523000
1.9131710000	0.0996908100
1.9135590000	0.0993293500
1.9139460000	0.0989678900
1.9143330000	0.0986064300
1.9147210000	0.0982449600
1.9151080000	0.0978835000
1.9154950000	0.0975220400
1.9158830000	0.0971605800
1.9162700000	0.0967991200
1.9166570000	0.0964376600
1.9170450000	0.0960762000
1.9174320000	0.0957147400
1.9178190000	0.0953532800
1.9182070000	0.0949918200
1.9185920000	-0.0173501000
1.9189800000	-0.0177115600
1.9193670000	-0.0180730300
1.9193690000	0.0939074400
1.9197560000	0.0935459800
1.9201430000	0.0931845200
1.9205310000	0.0928230600
1.9209180000	0.0924616000
1.9213050000	0.0921001400
1.9216930000	0.0917386800
1.9220800000	0.0913772200
1.9224680000	0.0910157500
1.9228550000	0.0906542900
1.9232420000	0.0902928300
1.9232440000	0.2022733000
1.9236310000	0.2019118000
1.9240190000	0.2015504000
1.9244060000	0.2011889000
1.9247930000	0.2008275000
1.9251810000	0.2004660000
1.9255680000	0.2001045000
1.9259550000	0.1997431000
1.9263430000	0.1993816000
1.9267280000	0.0870396900
1.9271160000	0.0866782300
1.9275030000	0.0863167700
1.9278900000	0.0859553100
1.9282780000	0.0855938500
1.9286650000	0.0852323900
1.9290510000	-0.0271095400
1.9294380000	-0.0274710000
1.9298250000	-0.0278324600
1.9302130000	-0.0281939200
