#Wavelength	Transmission
2.1938720000	0.0778686900
2.1939850000	0.0777009900
2.1940990000	0.0775332900
2.1942130000	0.0773655900
2.1943260000	0.0771978900
2.1944400000	0.0770301900
2.1945540000	0.0768624900
2.1946680000	0.0766947900
2.1947810000	0.0765270900
2.1948950000	0.0763593900
2.1950090000	0.0761916900
2.1951220000	0.0760239900
2.1952360000	0.0758562900
2.1953500000	0.0756885900
2.1954640000	0.0755208900
2.1955770000	0.0753531900
2.1956910000	0.0751854900
2.1958050000	0.0750177900
2.1959180000	0.0748500900
2.1960320000	0.0746823900
2.1961460000	0.0745146900
2.1962590000	0.0743469900
2.1963730000	0.0741792900
2.1964870000	0.0740115900
2.1966010000	0.0738438900
2.1967140000	0.0736761900
2.1968280000	0.0735084900
2.1969420000	0.0733407900
2.1970550000	0.0731730900
2.1971690000	0.0730053900
2.1972830000	0.0728376900
2.1973960000	0.0726699900
2.1975100000	0.0725022900
2.1976240000	0.0723345900
2.1977380000	0.0721668900
2.1978510000	0.0719991900
2.1979650000	0.0718314900
2.1980790000	0.0716637900
2.1981920000	0.0714960900
2.1983060000	0.0713283900
2.1983060000	0.1696565000
2.1984200000	0.1694888000
2.1985330000	0.0709929900
2.1986470000	0.0708252900
2.1987610000	0.0706575900
2.1988750000	0.0704898900
2.1989880000	0.0703221900
2.1991020000	0.0701544900
2.1992160000	0.0699867900
2.1993290000	0.0698190900
2.1994430000	0.0696513900
2.1995570000	0.0694836900
2.1996700000	0.0693159900
2.1997840000	0.0691482900
2.1998980000	0.0689805900
2.2000120000	0.0688128900
2.2001250000	0.0686451900
2.2002390000	0.0684774900
2.2003530000	0.0683097900
2.2004660000	0.0681420900
2.2005800000	0.0679743900
2.2006940000	0.0678066900
2.2008070000	0.0676389900
2.2009210000	0.0674712900
2.2010350000	0.0673035900
2.2011490000	0.0671358900
2.2012620000	0.0669681900
2.2013760000	0.0668004900
2.2014900000	0.0666327900
2.2016030000	0.0664650900
2.2017170000	0.0662973900
2.2018310000	0.0661296900
2.2019440000	0.0659619900
2.2020580000	0.0657942900
2.2021720000	0.0656265900
2.2022860000	0.0654588900
2.2023990000	0.0652911900
2.2025130000	0.0651234900
2.2026270000	0.0649557900
2.2027400000	0.0647880900
2.2028540000	0.0646203900
2.2029680000	0.0644526900
2.2030810000	0.0642849900
2.2031950000	0.0641172900
2.2033090000	0.0639495900
2.2034230000	0.0637818900
2.2035360000	0.0636141900
2.2036500000	0.0634464900
2.2037640000	0.0632787900
2.2038770000	0.0631110900
2.2039910000	0.0629433900
2.2041050000	0.0627756900
2.2042180000	0.0626079900
2.2043320000	0.0624402900
2.2044460000	0.0622725900
2.2045600000	0.0621048900
2.2046730000	0.0619371900
2.2047870000	0.0617694900
2.2049010000	0.0616017900
2.2050140000	0.0614340900
2.2051280000	0.0612663900
2.2052420000	0.0610986900
2.2053550000	0.0609309900
2.2054690000	0.0607632900
2.2055830000	0.0605955900
2.2056970000	0.0604278900
2.2058100000	0.0602601900
2.2059240000	0.0600924900
2.2060380000	0.0599247900
2.2061510000	0.0597570900
2.2062650000	0.0595893900
2.2063790000	0.0594216900
2.2064920000	0.0592539900
2.2066060000	0.0590862900
2.2067200000	0.0589185900
2.2068340000	0.0587508900
2.2069470000	0.0585831900
2.2070610000	0.0584154900
2.2071750000	0.0582477900
2.2072880000	0.0580800900
2.2074020000	0.0579123900
2.2075160000	0.0577446900
2.2076290000	0.0575769900
2.2077430000	0.0574092900
2.2078570000	0.0572415900
2.2079710000	0.0570738900
2.2080840000	0.0569061900
2.2081980000	0.0567384900
2.2083120000	0.0565707900
2.2084250000	0.0564030900
2.2085390000	0.0562353900
2.2086530000	0.0560676900
2.2087660000	0.0558999900
2.2087670000	0.1542281000
2.2088800000	0.1540604000
2.2089940000	0.1538927000
2.2091080000	0.1537250000
2.2092210000	0.1535573000
2.2093350000	0.0550614900
2.2093350000	0.1533896000
2.2094490000	0.1532219000
2.2095630000	0.1530542000
2.2096760000	0.1528865000
2.2097900000	0.0543906900
2.2099030000	0.0542229900
2.2100170000	0.0540552900
2.2101310000	0.0538875900
2.2102450000	0.0537198900
2.2103580000	0.0535521900
2.2104720000	0.0533844900
2.2105860000	0.0532167900
2.2106990000	0.0530490900
2.2107000000	0.1513772000
2.2108130000	0.1512095000
2.2109270000	0.1510418000
2.2110410000	0.1508741000
2.2111540000	0.0523782900
2.2112680000	0.0522105900
2.2113820000	0.0520428900
2.2114950000	0.0518751900
2.2116090000	0.0517074900
2.2116090000	0.1500356000
2.2117230000	0.1498679000
2.2118370000	0.1497002000
2.2119500000	0.0512043900
2.2120640000	0.0510366900
2.2120640000	0.1493648000
2.2121780000	0.1491971000
2.2122910000	0.1490294000
2.2124050000	0.0505335900
2.2125190000	0.0503658900
2.2126320000	0.0501981900
2.2127460000	0.0500304900
2.2127460000	0.1483586000
2.2128600000	0.1481909000
2.2129740000	0.1480232000
2.2130870000	0.1478555000
2.2132010000	0.1476878000
2.2133150000	0.1475201000
2.2134280000	0.1473524000
2.2135420000	0.0488565900
2.2135420000	0.1471847000
2.2136560000	0.1470170000
2.2137700000	0.1468493000
2.2138830000	0.1466816000
2.2139970000	0.1465139000
2.2141110000	0.1463462000
2.2142240000	0.1461785000
2.2143380000	0.1460108000
2.2144520000	0.1458431000
2.2145650000	0.1456754000
2.2146790000	0.1455077000
2.2147930000	0.0470118900
2.2149060000	0.0468441900
2.2150200000	0.0466764900
2.2151340000	0.0465087900
2.2151340000	0.1448369000
2.2152480000	0.1446692000
2.2153610000	0.1445015000
2.2154750000	0.1443338000
2.2155890000	0.1441661000
2.2157020000	0.1439984000
2.2158160000	0.0455025900
2.2159300000	0.0453348900
2.2159300000	0.1436630000
2.2160440000	0.1434953000
2.2161570000	0.1433276000
2.2162710000	0.1431599000
2.2163840000	0.0446640900
