#Wavelength	Transmission
1.8089000000	-0.0042522190
1.8092870000	-0.0044370990
1.8096740000	-0.0046219780
1.8100610000	-0.0048068570
1.8100620000	0.1066752000
1.8104490000	0.1064904000
1.8108360000	0.1063055000
1.8112230000	0.1061206000
1.8116100000	0.1059357000
1.8119970000	0.1057508000
1.8123840000	0.1055660000
1.8127710000	0.1053811000
1.8131580000	0.1051962000
1.8135450000	0.1050113000
1.8139300000	-0.0066556480
1.8139320000	0.1048265000
1.8143190000	0.1046416000
1.8147040000	-0.0070254060
1.8150910000	-0.0072102850
1.8154780000	-0.0073951640
1.8158650000	-0.0075800430
1.8158660000	0.1039021000
1.8162530000	0.1037172000
1.8166400000	0.1035323000
1.8170260000	-0.0081346810
1.8174130000	-0.0083195600
1.8178000000	-0.0085044390
1.8181870000	-0.0086893180
1.8185740000	-0.0088741970
1.8189610000	-0.0090590760
1.8193480000	-0.0092439550
1.8197350000	-0.0094288340
1.8201220000	-0.0096137140
1.8205080000	-0.0097985930
1.8208950000	-0.0099834720
1.8212820000	-0.0101683500
1.8216690000	-0.0103532300
1.8220560000	-0.0105381100
1.8224430000	-0.0107229900
1.8228300000	-0.0109078700
1.8232170000	-0.0110927500
1.8236040000	-0.0112776300
1.8239910000	-0.0114625000
1.8239920000	0.1000196000
1.8243790000	0.0998347200
1.8247660000	0.0996498400
1.8251530000	0.0994649600
1.8255390000	-0.0122020200
1.8259260000	-0.0123869000
1.8263130000	-0.0125717800
1.8267000000	-0.0127566600
1.8270870000	-0.0129415400
1.8274740000	-0.0131264200
1.8278610000	-0.0133113000
1.8282470000	-0.0134961700
1.8286340000	-0.0136810500
1.8290210000	-0.0138659300
1.8294080000	-0.0140508100
1.8294100000	0.0974312900
1.8297970000	0.0972464100
1.8301840000	0.0970615300
1.8305700000	0.0968766500
1.8309570000	0.0966917700
1.8313440000	0.0965068900
1.8317310000	0.0963220200
1.8321180000	0.0961371400
1.8325050000	0.0959522600
1.8328920000	0.0957673800
1.8332790000	0.0955825000
1.8336660000	0.0953976200
1.8340530000	0.0952127400
1.8344400000	0.0950278600
1.8348270000	0.0948429800
1.8352140000	0.0946581000
1.8356010000	0.0944732200
1.8359870000	-0.0171937600
1.8363730000	-0.0173786400
1.8367600000	-0.0175635200
1.8371470000	-0.0177483900
1.8371490000	0.0937337100
1.8375360000	0.0935488300
1.8379230000	0.0933639500
1.8383100000	0.0931790700
1.8386950000	-0.0184879100
1.8390820000	-0.0186727900
1.8394690000	-0.0188576700
1.8398560000	-0.0190425500
1.8402430000	-0.0192274300
1.8406300000	-0.0194123100
1.8410170000	-0.0195971900
1.8414040000	-0.0197820600
1.8417910000	-0.0199669400
1.8421780000	-0.0201518200
1.8425650000	-0.0203367000
1.8429520000	-0.0205215800
1.8433390000	-0.0207064600
1.8433400000	0.0907756400
1.8437270000	0.0905907600
1.8441140000	0.0904058800
1.8445010000	0.0902210000
1.8448880000	0.0900361300
1.8452750000	0.0898512500
1.8456620000	0.0896663700
1.8460490000	0.0894814900
1.8464360000	0.0892966100
1.8468220000	0.0891117300
1.8472090000	0.0889268500
1.8475960000	0.0887419700
1.8479830000	0.0885570900
