#Wavelength	Transmission
1.8131560000	-0.0104764400
1.8131580000	0.1010052000
1.8135450000	0.1006971000
1.8139320000	0.1003890000
1.8143180000	0.1000809000
1.8147050000	0.0997727200
1.8150920000	0.0994645900
1.8154780000	-0.0123252300
1.8158650000	-0.0126333600
1.8158660000	0.0988483300
1.8162530000	0.0985402000
1.8166400000	0.0982320700
1.8170270000	0.0979239400
1.8174140000	0.0976158100
1.8178010000	0.0973076800
1.8181880000	0.0969995500
1.8185750000	0.0966914200
1.8189620000	0.0963832900
1.8193480000	-0.0154065400
1.8197340000	-0.0157146700
1.8197360000	0.0957670200
1.8201230000	0.0954588900
1.8205100000	0.0951507600
1.8208970000	0.0948426300
1.8212840000	0.0945345000
1.8216710000	0.0942263700
1.8220570000	0.0939182400
1.8224440000	0.0936101100
1.8228310000	0.0933019800
1.8232180000	0.0929938500
1.8236050000	0.0926857200
1.8239920000	0.0923775900
1.8243790000	0.0920694600
1.8247660000	0.0917613200
1.8251530000	0.0914531900
1.8255400000	0.0911450600
1.8259270000	0.0908369300
1.8263140000	0.0905288000
1.8267000000	-0.0212610200
1.8270870000	-0.0215691500
1.8270880000	0.0899125400
1.8274750000	0.0896044100
1.8278600000	-0.0221854100
1.8282470000	-0.0224935400
1.8286340000	-0.0228016700
1.8290210000	-0.0231098000
1.8294080000	-0.0234179300
1.8297950000	-0.0237260600
1.8301820000	-0.0240342000
1.8305690000	-0.0243423300
1.8309560000	-0.0246504600
1.8313430000	-0.0249585900
1.8317300000	-0.0252667200
1.8321170000	-0.0255748500
1.8325040000	-0.0258829800
1.8328910000	-0.0261911100
1.8328920000	0.0852905800
1.8332790000	0.0849824500
1.8336660000	0.0846743200
1.8340520000	-0.0271155000
1.8344390000	-0.0274236300
1.8348260000	-0.0277317600
1.8352120000	-0.0280398900
1.8355990000	-0.0283480300
1.8359860000	-0.0286561600
1.8363730000	-0.0289642900
1.8367600000	-0.0292724200
1.8371470000	-0.0295805500
1.8375340000	-0.0298886800
1.8379210000	-0.0301968100
1.8383080000	-0.0305049400
1.8386950000	-0.0308130700
1.8386960000	0.0806686200
1.8390830000	0.0803604900
1.8394700000	0.0800523600
1.8398560000	-0.0317374600
1.8402430000	-0.0320455900
1.8406300000	-0.0323537200
1.8410170000	-0.0326618500
1.8410180000	0.0788198300
1.8414050000	0.0785117000
1.8417910000	-0.0332781200
1.8421780000	-0.0335862500
1.8425650000	-0.0338943800
1.8429520000	-0.0342025100
