#Wavelength	Transmission
3.0132620000	-0.0031611680
3.0140910000	-0.0033587410
3.0149200000	-0.0035563140
3.0157490000	-0.0037538870
3.0165780000	-0.0039514600
3.0174070000	-0.0041490330
3.0182350000	-0.0043466060
3.0190640000	-0.0045441790
3.0198930000	-0.0047417520
3.0207220000	-0.0049393250
3.0215510000	-0.0051368980
3.0223800000	-0.0053344710
3.0232090000	-0.0055320440
3.0240380000	-0.0057296170
3.0248670000	-0.0059271900
3.0256950000	-0.0061247630
3.0265240000	-0.0063223360
3.0265290000	0.1049113000
3.0273580000	0.1047137000
3.0281820000	-0.0067174820
3.0290110000	-0.0069150550
3.0298400000	-0.0071126280
3.0306690000	-0.0073102010
3.0314980000	-0.0075077740
3.0323270000	-0.0077053480
3.0331550000	-0.0079029210
3.0339840000	-0.0081004940
3.0348130000	-0.0082980670
3.0356420000	-0.0084956400
3.0364710000	-0.0086932130
3.0364760000	0.1025404000
3.0373040000	0.1023428000
3.0381330000	0.1021452000
3.0389580000	-0.0092859320
3.0397860000	-0.0094835050
3.0406150000	-0.0096810780
3.0414440000	-0.0098786510
3.0422730000	-0.0100762200
3.0431020000	-0.0102738000
3.0439310000	-0.0104713700
3.0439350000	0.1007622000
3.0447640000	0.1005647000
3.0455930000	0.1003671000
3.0464220000	0.1001695000
3.0472510000	0.0999719400
3.0480800000	0.0997743700
3.0489090000	0.0995768000
3.0497380000	0.0993792300
3.0505670000	0.0991816500
3.0513950000	0.0989840800
3.0522240000	0.0987865100
3.0530490000	-0.0126446700
3.0538780000	-0.0128422500
3.0538820000	0.0983913600
3.0547110000	0.0981937900
3.0555400000	0.0979962100
3.0563690000	0.0977986400
3.0571980000	0.0976010700
3.0580270000	0.0974035000
3.0588550000	0.0972059200
3.0596840000	0.0970083500
3.0605130000	0.0968107800
3.0613370000	-0.0146204000
3.0621660000	-0.0148179800
3.0629950000	-0.0150155500
3.0638240000	-0.0152131200
3.0646530000	-0.0154107000
3.0654820000	-0.0156082700
3.0654860000	0.0956253400
3.0663150000	0.0954277700
3.0671400000	-0.0160034100
3.0679690000	-0.0162009900
3.0687970000	-0.0163985600
3.0696260000	-0.0165961300
3.0704550000	-0.0167937100
3.0712840000	-0.0169912800
3.0712890000	0.0942423300
3.0721180000	0.0940447500
3.0729420000	-0.0173864300
3.0737710000	-0.0175840000
3.0746000000	-0.0177815700
3.0754290000	-0.0179791400
3.0762570000	-0.0181767200
3.0762620000	0.0930568900
3.0770910000	0.0928593200
3.0779200000	0.0926617400
3.0787490000	0.0924641700
3.0795730000	-0.0189670100
3.0804020000	-0.0191645800
3.0812310000	-0.0193621600
3.0820600000	-0.0195597300
3.0828880000	-0.0197573000
3.0837170000	-0.0199548700
3.0845460000	-0.0201524500
3.0853750000	-0.0203500200
3.0853800000	0.0908835900
3.0862090000	0.0906860100
3.0870370000	0.0904884400
3.0878660000	0.0902908700
3.0886950000	0.0900932900
3.0895240000	0.0898957200
3.0903480000	-0.0215354600
3.0911770000	-0.0217330300
3.0920060000	-0.0219306000
3.0928350000	-0.0221281800
3.0936640000	-0.0223257500
3.0944930000	-0.0225233200
3.0953220000	-0.0227209000
3.0961510000	-0.0229184700
3.0969800000	-0.0231160400
3.0978080000	-0.0233136200
3.0986370000	-0.0235111900
3.0994660000	-0.0237087600
3.1002950000	-0.0239063300
3.1011240000	-0.0241039100
3.1019530000	-0.0243014800
3.1027820000	-0.0244990500
3.1036110000	-0.0246966300
3.1044390000	-0.0248942000
3.1052680000	-0.0250917700
3.1052730000	0.0861418300
3.1061020000	0.0859442600
3.1069260000	-0.0254869200
3.1069310000	0.0857466900
3.1077600000	0.0855491100
3.1085880000	0.0853515400
3.1094130000	-0.0260796400
3.1102420000	-0.0262772100
3.1110710000	-0.0264747800
3.1110750000	0.0847588200
3.1119040000	0.0845612500
3.1127330000	0.0843636800
