#Wavelength	Transmission
4.0138270000	0.0000000000
4.0146920000	0.1129944000
4.0155570000	0.1129944000
4.0164210000	0.1129944000
4.0172850000	0.1129944000
4.0181490000	0.1129944000
4.0190130000	0.1129944000
4.0198780000	0.1129944000
4.0207420000	0.1129944000
4.0216060000	0.1129944000
4.0224700000	0.1129944000
4.0233340000	0.1129944000
4.0241990000	0.1129944000
4.0250630000	0.1129944000
4.0259270000	0.1129944000
4.0267910000	0.1129944000
4.0276550000	0.1129944000
4.0285190000	0.1129944000
4.0293840000	0.1129944000
4.0302480000	0.1129944000
4.0311120000	0.1129944000
4.0319760000	0.1129944000
4.0328400000	0.1129944000
4.0337050000	0.1129944000
4.0345690000	0.1129944000
4.0354330000	0.1129944000
4.0362970000	0.1129944000
4.0371610000	0.1129944000
4.0380260000	0.1129944000
4.0388900000	0.1129944000
4.0397540000	0.1129944000
4.0406180000	0.1129944000
4.0414820000	0.1129944000
4.0423470000	0.1129944000
4.0432110000	0.1129944000
4.0440750000	0.1129944000
4.0449390000	0.1129944000
4.0458030000	0.1129944000
4.0466680000	0.1129944000
4.0475320000	0.1129944000
4.0483960000	0.1129944000
4.0492600000	0.1129944000
4.0501240000	0.1129944000
4.0509890000	0.1129944000
4.0518530000	0.1129944000
4.0527170000	0.1129944000
4.0535810000	0.1129944000
4.0544450000	0.1129944000
4.0553100000	0.1129944000
4.0561740000	0.1129944000
4.0570380000	0.1129944000
4.0579020000	0.1129944000
4.0587660000	0.1129944000
4.0596310000	0.1129944000
4.0604950000	0.1129944000
4.0613590000	0.1129944000
4.0622230000	0.1129944000
4.0630870000	0.1129944000
4.0639520000	0.1129944000
4.0648150000	0.0000000000
4.0656790000	0.0000000000
4.0665430000	0.0000000000
4.0674070000	0.0000000000
4.0682720000	0.0000000000
4.0691360000	0.0000000000
4.0700000000	0.0000000000
4.0708650000	0.1129944000
4.0717290000	0.1129944000
4.0725940000	0.1129944000
4.0734580000	0.1129944000
4.0743220000	0.1129944000
4.0751860000	0.1129944000
4.0760500000	0.1129944000
4.0769150000	0.1129944000
4.0777790000	0.1129944000
4.0786420000	0.0000000000
4.0795060000	0.0000000000
4.0803700000	0.0000000000
4.0812350000	0.0000000000
4.0820990000	0.0000000000
4.0829640000	0.1129944000
4.0838280000	0.1129944000
4.0846920000	0.1129944000
4.0855570000	0.1129944000
4.0864210000	0.1129944000
4.0872850000	0.1129944000
4.0881490000	0.1129944000
4.0890130000	0.1129944000
4.0898780000	0.1129944000
4.0907420000	0.1129944000
4.0916060000	0.1129944000
4.0924710000	0.2259887000
4.0933350000	0.2259887000
4.0941990000	0.2259887000
4.0950630000	0.1129944000
4.0959270000	0.1129944000
4.0967910000	0.1129944000
4.0976550000	0.1129944000
4.0985190000	0.1129944000
4.0993840000	0.1129944000
4.1002480000	0.1129944000
4.1011120000	0.1129944000
4.1019760000	0.1129944000
4.1028400000	0.1129944000
4.1037050000	0.1129944000
4.1045690000	0.1129944000
4.1054330000	0.1129944000
4.1062970000	0.1129944000
4.1071610000	0.1129944000
4.1080260000	0.1129944000
4.1088900000	0.1129944000
4.1097530000	0.0000000000
4.1106170000	0.0000000000
4.1114810000	0.0000000000
4.1123460000	0.0000000000
4.1132110000	0.1129944000
4.1140750000	0.1129944000
4.1149390000	0.1129944000
4.1158030000	0.1129944000
4.1166680000	0.1129944000
4.1175320000	0.1129944000
4.1183970000	0.2259887000
4.1192610000	0.2259887000
4.1201260000	0.3389831000
4.1209920000	0.4519774000
4.1218570000	0.5649718000
4.1227210000	0.5649718000
4.1235830000	0.3389831000
4.1244460000	0.2259887000
4.1253100000	0.1129944000
4.1261740000	0.1129944000
4.1270380000	0.1129944000
4.1279010000	0.0000000000
4.1287650000	0.0000000000
4.1296300000	0.0000000000
4.1304940000	0.0000000000
4.1313580000	0.0000000000
4.1322220000	0.0000000000
4.1330860000	0.0000000000
4.1339510000	0.0000000000
4.1348150000	0.0000000000
4.1356790000	0.0000000000
4.1365430000	0.0000000000
4.1374070000	0.0000000000
4.1382720000	0.0000000000
4.1391360000	0.0000000000
4.1400000000	0.0000000000
4.1408650000	0.1129944000
4.1417290000	0.1129944000
4.1425940000	0.1129944000
4.1434580000	0.1129944000
4.1443220000	0.1129944000
4.1451860000	0.1129944000
4.1460500000	0.1129944000
4.1469150000	0.1129944000
4.1477780000	0.0000000000
4.1486420000	0.0000000000
4.1495060000	0.0000000000
4.1503700000	0.0000000000
4.1512360000	0.1129944000
4.1521000000	0.1129944000
4.1529640000	0.1129944000
4.1538280000	0.1129944000
4.1546920000	0.1129944000
4.1555570000	0.1129944000
4.1564210000	0.1129944000
4.1572850000	0.1129944000
4.1581490000	0.1129944000
4.1590130000	0.1129944000
4.1598780000	0.1129944000
4.1607410000	0.0000000000
4.1616050000	0.0000000000
4.1624690000	0.0000000000
