# TESS Instrument Response Function
# Source: Roland Vanderspek, POC, Kavli/MIT
# Version: 2.0
# Date: 2020/07/30
# Feedback: tesshelp@bigbang.gsfc.nasa.gov
# Wavelength (nm), lambda Transmission
300,0
302,0
304,0
306,0
308,0
310,0
312,0
314,0
316,0
318,0
320,0
322,0
324,0
326,0
328,0
330,0
332,0
334,0
336,0
338,0
340,0
342,0
344,0
346,0
348,0
350,0
352,0
354,0
356,0
358,0
360,0
362,0
364,0
366,0
368,0
370,0
372,0
374,0
376,0
378,0
380,0
382,0
384,0
386,0
388,0
390,0
392,0
394,0
396,0
398,0
400,0
402,0
404,0
406,0
408,0
410,0
412,0
414,0
416,0
418,0
420,0
422,0
424,0
426,0
428,0
430,0
432,0
434,0
436,0
438,0
440,0
442,0
444,0
446,0
448,0
450,0
452,0
454,0
456,0
458,0
460,0
462,0
464,0
466,0
468,0
470,0
472,0
474,0
476,0
478,0
480,0
482,0
484,0
486,0
488,0
490,0
492,0
494,0
496,0
498,0
500,0
502,0
504,0
506,0
508,0
510,0
512,0
514,0
516,0
518,0
520,0
522,0
524,0
526,0
528,0
530,0
532,0
534,0.001
536,0.001
538,0.001
540,0.001
542,0.001
544,0.001
546,0.001
548,0.001
550,0.001
552,0.001
554,0.002
556,0.002
558,0.002
560,0.002
562,0.002
564,0.002
566,0.003
568,0.003
570,0.005
572,0.01
574,0.03
576,0.074
578,0.191
580,0.491
582,0.575
584,0.495
586,0.535
588,0.61
590,0.631
592,0.633
594,0.655
596,0.681
598,0.685
600,0.678
602,0.681
604,0.691
606,0.697
608,0.693
610,0.689
612,0.688
614,0.691
616,0.695
618,0.694
620,0.693
622,0.692
624,0.692
626,0.693
628,0.695
630,0.697
632,0.699
634,0.702
636,0.706
638,0.709
640,0.71
642,0.712
644,0.713
646,0.716
648,0.717
650,0.719
652,0.722
654,0.723
656,0.724
658,0.726
660,0.728
662,0.727
664,0.728
666,0.727
668,0.728
670,0.729
672,0.73
674,0.734
676,0.739
678,0.743
680,0.744
682,0.745
684,0.744
686,0.745
688,0.745
690,0.75
692,0.755
694,0.758
696,0.762
698,0.767
700,0.768
702,0.769
704,0.77
706,0.771
708,0.775
710,0.779
712,0.784
714,0.783
716,0.784
718,0.784
720,0.783
722,0.785
724,0.784
726,0.782
728,0.78
730,0.776
732,0.773
734,0.771
736,0.768
738,0.771
740,0.77
742,0.773
744,0.771
746,0.771
748,0.774
750,0.771
752,0.772
754,0.772
756,0.774
758,0.773
760,0.774
762,0.774
764,0.772
766,0.767
768,0.765
770,0.757
772,0.754
774,0.754
776,0.753
778,0.754
780,0.755
782,0.756
784,0.757
786,0.762
788,0.763
790,0.766
792,0.763
794,0.768
796,0.769
798,0.772
800,0.777
802,0.778
804,0.78
806,0.78
808,0.779
810,0.78
812,0.778
814,0.775
816,0.771
818,0.772
820,0.769
822,0.767
824,0.764
826,0.762
828,0.763
830,0.761
832,0.761
834,0.762
836,0.763
838,0.763
840,0.763
842,0.763
844,0.762
846,0.763
848,0.761
850,0.761
852,0.758
854,0.759
856,0.758
858,0.758
860,0.759
862,0.758
864,0.759
866,0.76
868,0.76
870,0.761
872,0.762
874,0.763
876,0.763
878,0.764
880,0.764
882,0.765
884,0.765
886,0.765
888,0.765
890,0.763
892,0.761
894,0.759
896,0.756
898,0.752
900,0.748
902,0.742
904,0.737
906,0.732
908,0.725
910,0.719
912,0.713
914,0.709
916,0.704
918,0.697
920,0.694
922,0.691
924,0.687
926,0.685
928,0.682
930,0.677
932,0.675
934,0.671
936,0.666
938,0.662
940,0.656
942,0.65
944,0.641
946,0.635
948,0.626
950,0.616
952,0.605
954,0.594
956,0.582
958,0.571
960,0.557
962,0.544
964,0.53
966,0.514
968,0.499
970,0.484
972,0.469
974,0.453
976,0.438
978,0.424
980,0.411
982,0.399
984,0.386
986,0.373
988,0.362
990,0.351
992,0.342
994,0.333
996,0.321
998,0.309
1000,0.299
1002,0.287
1004,0.276
1006,0.263
1008,0.252
1010,0.24
1012,0.227
1014,0.217
1016,0.205
1018,0.194
1020,0.184
1022,0.174
1024,0.164
1026,0.156
1028,0.147
1030,0.139
1032,0.132
1034,0.125
1036,0.117
1038,0.111
1040,0.104
1042,0.097
1044,0.09
1046,0.083
1048,0.077
1050,0.07
1052,0.063
