# Table 4 System throughput curve for the WFCAM J filter
# 1.0mm water vapour, 1.3 airmass
# Col 1: wavelength (microns)
# Col 2: throughput
# Wavelength(microns) Transmission
 1.0510 0.0000
 1.0515 0.0000
 1.0520 0.0000
 1.0525 0.0000
 1.0530 0.0000
 1.0535 0.0000
 1.0540 0.0000
 1.0545 0.0000
 1.0550 0.0000
 1.0555 0.0000
 1.0560 0.0000
 1.0565 0.0000
 1.0570 0.0000
 1.0575 0.0000
 1.0580 0.0000
 1.0585 0.0000
 1.0590 0.0000
 1.0595 0.0000
 1.0600 0.0000
 1.0605 0.0000
 1.0610 0.0000
 1.0615 0.0000
 1.0620 0.0000
 1.0625 0.0000
 1.0630 0.0000
 1.0635 0.0000
 1.0640 0.0000
 1.0645 0.0000
 1.0650 0.0000
 1.0655 0.0000
 1.0660 0.0000
 1.0665 0.0000
 1.0670 0.0000
 1.0675 0.0000
 1.0680 0.0000
 1.0685 0.0000
 1.0690 0.0000
 1.0695 0.0000
 1.0700 0.0000
 1.0705 0.0000
 1.0710 0.0000
 1.0715 0.0000
 1.0720 0.0000
 1.0725 0.0000
 1.0730 0.0000
 1.0735 0.0000
 1.0740 0.0000
 1.0745 0.0000
 1.0750 0.0000
 1.0755 0.0000
 1.0760 0.0000
 1.0765 0.0000
 1.0770 0.0000
 1.0775 0.0000
 1.0780 0.0000
 1.0785 0.0000
 1.0790 0.0000
 1.0795 0.0000
 1.0800 0.0000
 1.0805 0.0000
 1.0810 0.0000
 1.0815 0.0000
 1.0820 0.0000
 1.0825 0.0000
 1.0830 0.0000
 1.0835 0.0000
 1.0840 0.0000
 1.0845 0.0000
 1.0850 0.0000
 1.0855 0.0000
 1.0860 0.0000
 1.0865 0.0000
 1.0870 0.0000
 1.0875 0.0000
 1.0880 0.0000
 1.0885 0.0000
 1.0890 0.0000
 1.0895 0.0000
 1.0900 0.0000
 1.0905 0.0000
 1.0910 0.0000
 1.0915 0.0000
 1.0920 0.0000
 1.0925 0.0000
 1.0930 0.0000
 1.0935 0.0000
 1.0940 0.0000
 1.0945 0.0000
 1.0950 0.0000
 1.0955 0.0000
 1.0960 0.0000
 1.0965 0.0000
 1.0970 0.0000
 1.0975 0.0000
 1.0980 0.0000
 1.0985 0.0000
 1.0990 0.0000
 1.0995 0.0000
 1.1000 0.0000
 1.1005 0.0001
 1.1010 0.0001
 1.1015 0.0001
 1.1020 0.0001
 1.1025 0.0001
 1.1030 0.0001
 1.1035 0.0001
 1.1040 0.0001
 1.1045 0.0001
 1.1050 0.0001
 1.1055 0.0001
 1.1060 0.0001
 1.1065 0.0001
 1.1070 0.0001
 1.1075 0.0001
 1.1080 0.0001
 1.1085 0.0001
 1.1090 0.0001
 1.1095 0.0001
 1.1100 0.0001
 1.1105 0.0001
 1.1110 0.0001
 1.1115 0.0001
 1.1120 0.0001
 1.1125 0.0001
 1.1130 0.0001
 1.1135 0.0001
 1.1140 0.0001
 1.1145 0.0001
 1.1150 0.0001
 1.1155 0.0001
 1.1160 0.0001
 1.1165 0.0001
 1.1170 0.0001
 1.1175 0.0001
 1.1180 0.0002
 1.1185 0.0002
 1.1190 0.0001
 1.1195 0.0002
 1.1200 0.0002
 1.1205 0.0002
 1.1210 0.0002
 1.1215 0.0002
 1.1220 0.0002
 1.1225 0.0001
 1.1230 0.0002
 1.1235 0.0002
 1.1240 0.0003
 1.1245 0.0003
 1.1250 0.0003
 1.1255 0.0001
 1.1260 0.0003
 1.1265 0.0003
 1.1270 0.0004
 1.1275 0.0003
 1.1280 0.0003
 1.1285 0.0003
 1.1290 0.0004
 1.1295 0.0004
 1.1300 0.0004
 1.1305 0.0005
 1.1310 0.0006
 1.1315 0.0006
 1.1320 0.0006
 1.1325 0.0006
 1.1330 0.0007
 1.1335 0.0005
 1.1340 0.0006
 1.1345 0.0005
 1.1350 0.0004
 1.1355 0.0008
 1.1360 0.0006
 1.1365 0.0010
 1.1370 0.0011
 1.1375 0.0010
 1.1380 0.0012
 1.1385 0.0010
 1.1390 0.0014
 1.1395 0.0015
 1.1400 0.0013
 1.1405 0.0017
 1.1410 0.0014
 1.1415 0.0015
 1.1420 0.0019
 1.1425 0.0021
 1.1430 0.0022
 1.1435 0.0024
 1.1440 0.0023
 1.1445 0.0021
 1.1450 0.0023
 1.1455 0.0025
 1.1460 0.0028
 1.1465 0.0028
 1.1470 0.0031
 1.1475 0.0030
 1.1480 0.0044
 1.1485 0.0046
 1.1490 0.0044
 1.1495 0.0049
 1.1500 0.0046
 1.1505 0.0062
 1.1510 0.0062
 1.1515 0.0069
 1.1520 0.0064
 1.1525 0.0070
 1.1530 0.0087
 1.1535 0.0095
 1.1540 0.0091
 1.1545 0.0104
 1.1550 0.0117
 1.1555 0.0128
 1.1560 0.0138
 1.1565 0.0149
 1.1570 0.0172
 1.1575 0.0182
 1.1580 0.0187
 1.1585 0.0216
 1.1590 0.0211
 1.1595 0.0255
 1.1600 0.0277
 1.1605 0.0283
 1.1610 0.0332
 1.1615 0.0352
 1.1620 0.0392
 1.1625 0.0410
 1.1630 0.0466
 1.1635 0.0496
 1.1640 0.0535
 1.1645 0.0586
 1.1650 0.0617
 1.1655 0.0670
 1.1660 0.0708
 1.1665 0.0775
 1.1670 0.0824
 1.1675 0.0893
 1.1680 0.0947
 1.1685 0.0989
 1.1690 0.1063
 1.1695 0.1103
 1.1700 0.1175
 1.1705 0.1212
 1.1710 0.1261
 1.1715 0.1332
 1.1720 0.1368
 1.1725 0.1399
 1.1730 0.1445
 1.1735 0.1485
 1.1740 0.1445
 1.1745 0.1552
 1.1750 0.1591
 1.1755 0.1572
 1.1760 0.1640
 1.1765 0.1656
 1.1770 0.1673
 1.1775 0.1613
 1.1780 0.1672
 1.1785 0.1671
 1.1790 0.1718
 1.1795 0.1660
 1.1800 0.1716
 1.1805 0.1734
 1.1810 0.1729
 1.1815 0.1713
 1.1820 0.1607
 1.1825 0.1729
 1.1830 0.1748
 1.1835 0.1751
 1.1840 0.1747
 1.1845 0.1708
 1.1850 0.1688
 1.1855 0.1762
 1.1860 0.1758
 1.1865 0.1751
 1.1870 0.1755
 1.1875 0.1719
 1.1880 0.1724
 1.1885 0.1718
 1.1890 0.1764
 1.1895 0.1772
 1.1900 0.1777
 1.1905 0.1769
 1.1910 0.1761
 1.1915 0.1783
 1.1920 0.1768
 1.1925 0.1784
 1.1930 0.1785
 1.1935 0.1724
 1.1940 0.1786
 1.1945 0.1772
 1.1950 0.1767
 1.1955 0.1764
 1.1960 0.1777
 1.1965 0.1768
 1.1970 0.1777
 1.1975 0.1737
 1.1980 0.1779
 1.1985 0.1759
 1.1990 0.1727
 1.1995 0.1768
 1.2000 0.1764
 1.2005 0.1763
 1.2010 0.1755
 1.2015 0.1758
 1.2020 0.1736
 1.2025 0.1768
 1.2030 0.1767
 1.2035 0.1729
 1.2040 0.1683
 1.2045 0.1755
 1.2050 0.1707
 1.2055 0.1777
 1.2060 0.1781
 1.2065 0.1757
 1.2070 0.1765
 1.2075 0.1765
 1.2080 0.1774
 1.2085 0.1791
 1.2090 0.1778
 1.2095 0.1808
 1.2100 0.1787
 1.2105 0.1827
 1.2110 0.1829
 1.2115 0.1805
 1.2120 0.1837
 1.2125 0.1836
 1.2130 0.1859
 1.2135 0.1872
 1.2140 0.1859
 1.2145 0.1872
 1.2150 0.1873
 1.2155 0.1882
 1.2160 0.1908
 1.2165 0.1908
 1.2170 0.1906
 1.2175 0.1928
 1.2180 0.1916
 1.2185 0.1921
 1.2190 0.1915
 1.2195 0.1927
 1.2200 0.1939
 1.2205 0.1945
 1.2210 0.1954
 1.2215 0.1938
 1.2220 0.1946
 1.2225 0.1941
 1.2230 0.1952
 1.2235 0.1947
 1.2240 0.1953
 1.2245 0.1951
 1.2250 0.1954
 1.2255 0.1947
 1.2260 0.1949
 1.2265 0.1949
 1.2270 0.1929
 1.2275 0.1941
 1.2280 0.1940
 1.2285 0.1939
 1.2290 0.1932
 1.2295 0.1925
 1.2300 0.1926
 1.2305 0.1925
 1.2310 0.1922
 1.2315 0.1919
 1.2320 0.1916
 1.2325 0.1913
 1.2330 0.1909
 1.2335 0.1906
 1.2340 0.1909
 1.2345 0.1907
 1.2350 0.1906
 1.2355 0.1906
 1.2360 0.1907
 1.2365 0.1907
 1.2370 0.1908
 1.2375 0.1910
 1.2380 0.1912
 1.2385 0.1915
 1.2390 0.1918
 1.2395 0.1921
 1.2400 0.1925
 1.2405 0.1928
 1.2410 0.1933
 1.2415 0.1938
 1.2420 0.1943
 1.2425 0.1949
 1.2430 0.1954
 1.2435 0.1960
 1.2440 0.1966
 1.2445 0.1972
 1.2450 0.1978
 1.2455 0.1984
 1.2460 0.1990
 1.2465 0.1995
 1.2470 0.2002
 1.2475 0.2008
 1.2480 0.2010
 1.2485 0.2018
 1.2490 0.2023
 1.2495 0.2021
 1.2500 0.2032
 1.2505 0.2036
 1.2510 0.2026
 1.2515 0.2042
 1.2520 0.2045
 1.2525 0.2029
 1.2530 0.2048
 1.2535 0.2050
 1.2540 0.2035
 1.2545 0.2047
 1.2550 0.2051
 1.2555 0.2044
 1.2560 0.2027
 1.2565 0.2049
 1.2570 0.2047
 1.2575 0.1968
 1.2580 0.2043
 1.2585 0.2038
 1.2590 0.1958
 1.2595 0.2026
 1.2600 0.2018
 1.2605 0.1990
 1.2610 0.1949
 1.2615 0.1975
 1.2620 0.1961
 1.2625 0.1844
 1.2630 0.1946
 1.2635 0.1907
 1.2640 0.1889
 1.2645 0.1883
 1.2650 0.1881
 1.2655 0.1948
 1.2660 0.1765
 1.2665 0.1895
 1.2670 0.1918
 1.2675 0.1916
 1.2680 0.1989
 1.2685 0.1504
 1.2690 0.1478
 1.2695 0.1806
 1.2700 0.1927
 1.2705 0.1973
 1.2710 0.1947
 1.2715 0.1994
 1.2720 0.1942
 1.2725 0.1995
 1.2730 0.1948
 1.2735 0.2037
 1.2740 0.1962
 1.2745 0.2017
 1.2750 0.1982
 1.2755 0.2065
 1.2760 0.2008
 1.2765 0.2021
 1.2770 0.2052
 1.2775 0.2054
 1.2780 0.2091
 1.2785 0.2032
 1.2790 0.2104
 1.2795 0.2090
 1.2800 0.2108
 1.2805 0.2080
 1.2810 0.2111
 1.2815 0.2124
 1.2820 0.2123
 1.2825 0.2101
 1.2830 0.2132
 1.2835 0.2132
 1.2840 0.2134
 1.2845 0.2113
 1.2850 0.2136
 1.2855 0.2137
 1.2860 0.2136
 1.2865 0.2128
 1.2870 0.2132
 1.2875 0.2132
 1.2880 0.2129
 1.2885 0.2125
 1.2890 0.2113
 1.2895 0.2119
 1.2900 0.2115
 1.2905 0.2113
 1.2910 0.2105
 1.2915 0.2100
 1.2920 0.2092
 1.2925 0.2094
 1.2930 0.2090
 1.2935 0.2087
 1.2940 0.2078
 1.2945 0.2077
 1.2950 0.2070
 1.2955 0.2058
 1.2960 0.2059
 1.2965 0.2057
 1.2970 0.2050
 1.2975 0.2034
 1.2980 0.2043
 1.2985 0.2045
 1.2990 0.2044
 1.2995 0.2017
 1.3000 0.2032
 1.3005 0.2008
 1.3010 0.2007
 1.3015 0.2034
 1.3020 0.2034
 1.3025 0.2028
 1.3030 0.2018
 1.3035 0.1973
 1.3040 0.2001
 1.3045 0.1994
 1.3050 0.2038
 1.3055 0.2023
 1.3060 0.2043
 1.3065 0.1988
 1.3070 0.2024
 1.3075 0.2050
 1.3080 0.1978
 1.3085 0.2057
 1.3090 0.2057
 1.3095 0.2012
 1.3100 0.2012
 1.3105 0.1978
 1.3110 0.2059
 1.3115 0.2075
 1.3120 0.2060
 1.3125 0.2041
 1.3130 0.2006
 1.3135 0.1980
 1.3140 0.2023
 1.3145 0.2024
 1.3150 0.2007
 1.3155 0.1986
 1.3160 0.2024
 1.3165 0.2021
 1.3170 0.1862
 1.3175 0.1989
 1.3180 0.1956
 1.3185 0.1881
 1.3190 0.1876
 1.3195 0.1830
 1.3200 0.1716
 1.3205 0.1757
 1.3210 0.1770
 1.3215 0.1648
 1.3220 0.1687
 1.3225 0.1628
 1.3230 0.1516
 1.3235 0.1553
 1.3240 0.1440
 1.3245 0.1449
 1.3250 0.1422
 1.3255 0.1298
 1.3260 0.1305
 1.3265 0.1247
 1.3270 0.1139
 1.3275 0.1143
 1.3280 0.1075
 1.3285 0.0962
 1.3290 0.0929
 1.3295 0.0936
 1.3300 0.0868
 1.3305 0.0847
 1.3310 0.0764
 1.3315 0.0695
 1.3320 0.0658
 1.3325 0.0552
 1.3330 0.0641
 1.3335 0.0588
 1.3340 0.0522
 1.3345 0.0554
 1.3350 0.0488
 1.3355 0.0495
 1.3360 0.0370
 1.3365 0.0444
 1.3370 0.0389
 1.3375 0.0342
 1.3380 0.0328
 1.3385 0.0353
 1.3390 0.0323
 1.3395 0.0306
 1.3400 0.0282
 1.3405 0.0233
 1.3410 0.0265
 1.3415 0.0222
 1.3420 0.0238
 1.3425 0.0220
 1.3430 0.0209
 1.3435 0.0200
 1.3440 0.0144
 1.3445 0.0138
 1.3450 0.0162
 1.3455 0.0139
 1.3460 0.0136
 1.3465 0.0106
 1.3470 0.0133
