# Table 6 System throughput curve for the WFCAM K filter
# 1.0mm water vapour, 1.3 airmass
# Col 1: wavelength (microns)
# Col 2: throughput
# Wavelength(microns) Transmission
 1.9010 0.0001
 1.9015 0.0002
 1.9020 0.0003
 1.9025 0.0001
 1.9030 0.0000
 1.9035 0.0001
 1.9040 0.0003
 1.9045 0.0002
 1.9050 0.0001
 1.9055 0.0000
 1.9060 0.0001
 1.9065 0.0001
 1.9070 0.0000
 1.9075 0.0003
 1.9080 0.0004
 1.9085 0.0004
 1.9090 0.0001
 1.9095 0.0005
 1.9100 0.0004
 1.9105 0.0002
 1.9110 0.0003
 1.9115 0.0000
 1.9120 0.0002
 1.9125 0.0003
 1.9130 0.0003
 1.9135 0.0000
 1.9140 0.0001
 1.9145 0.0002
 1.9150 0.0003
 1.9155 0.0006
 1.9160 0.0002
 1.9165 0.0001
 1.9170 0.0003
 1.9175 0.0007
 1.9180 0.0008
 1.9185 0.0008
 1.9190 0.0007
 1.9195 0.0003
 1.9200 0.0000
 1.9205 0.0001
 1.9210 0.0000
 1.9215 0.0004
 1.9220 0.0008
 1.9225 0.0009
 1.9230 0.0009
 1.9235 0.0009
 1.9240 0.0001
 1.9245 0.0002
 1.9250 0.0009
 1.9255 0.0011
 1.9260 0.0008
 1.9265 0.0010
 1.9270 0.0002
 1.9275 0.0005
 1.9280 0.0011
 1.9285 0.0003
 1.9290 0.0008
 1.9295 0.0012
 1.9300 0.0010
 1.9305 0.0007
 1.9310 0.0004
 1.9315 0.0009
 1.9320 0.0008
 1.9325 0.0015
 1.9330 0.0010
 1.9335 0.0015
 1.9340 0.0004
 1.9345 0.0012
 1.9350 0.0018
 1.9355 0.0017
 1.9360 0.0016
 1.9365 0.0007
 1.9370 0.0017
 1.9375 0.0017
 1.9380 0.0008
 1.9385 0.0018
 1.9390 0.0009
 1.9395 0.0011
 1.9400 0.0013
 1.9405 0.0022
 1.9410 0.0013
 1.9415 0.0009
 1.9420 0.0020
 1.9425 0.0026
 1.9430 0.0024
 1.9435 0.0019
 1.9440 0.0022
 1.9445 0.0018
 1.9450 0.0015
 1.9455 0.0025
 1.9460 0.0024
 1.9465 0.0026
 1.9470 0.0023
 1.9475 0.0022
 1.9480 0.0025
 1.9485 0.0022
 1.9490 0.0028
 1.9495 0.0024
 1.9500 0.0026
 1.9505 0.0026
 1.9510 0.0025
 1.9515 0.0032
 1.9520 0.0031
 1.9525 0.0027
 1.9530 0.0027
 1.9535 0.0022
 1.9540 0.0027
 1.9545 0.0021
 1.9550 0.0026
 1.9555 0.0020
 1.9560 0.0025
 1.9565 0.0023
 1.9570 0.0028
 1.9575 0.0031
 1.9580 0.0027
 1.9585 0.0032
 1.9590 0.0025
 1.9595 0.0023
 1.9600 0.0036
 1.9605 0.0044
 1.9610 0.0033
 1.9615 0.0041
 1.9620 0.0039
 1.9625 0.0047
 1.9630 0.0042
 1.9635 0.0034
 1.9640 0.0032
 1.9645 0.0038
 1.9650 0.0053
 1.9655 0.0046
 1.9660 0.0035
 1.9665 0.0047
 1.9670 0.0061
 1.9675 0.0052
 1.9680 0.0040
 1.9685 0.0061
 1.9690 0.0065
 1.9695 0.0053
 1.9700 0.0060
 1.9705 0.0073
 1.9710 0.0059
 1.9715 0.0053
 1.9720 0.0072
 1.9725 0.0071
 1.9730 0.0070
 1.9735 0.0083
 1.9740 0.0073
 1.9745 0.0077
 1.9750 0.0090
 1.9755 0.0086
 1.9760 0.0084
 1.9765 0.0096
 1.9770 0.0094
 1.9775 0.0096
 1.9780 0.0100
 1.9785 0.0100
 1.9790 0.0106
 1.9795 0.0102
 1.9800 0.0083
 1.9805 0.0092
 1.9810 0.0114
 1.9815 0.0118
 1.9820 0.0120
 1.9825 0.0122
 1.9830 0.0118
 1.9835 0.0128
 1.9840 0.0131
 1.9845 0.0133
 1.9850 0.0133
 1.9855 0.0136
 1.9860 0.0142
 1.9865 0.0144
 1.9870 0.0111
 1.9875 0.0149
 1.9880 0.0154
 1.9885 0.0158
 1.9890 0.0162
 1.9895 0.0165
 1.9900 0.0151
 1.9905 0.0163
 1.9910 0.0175
 1.9915 0.0182
 1.9920 0.0185
 1.9925 0.0189
 1.9930 0.0194
 1.9935 0.0198
 1.9940 0.0193
 1.9945 0.0203
 1.9950 0.0211
 1.9955 0.0206
 1.9960 0.0212
 1.9965 0.0209
 1.9970 0.0203
 1.9975 0.0202
 1.9980 0.0181
 1.9985 0.0186
 1.9990 0.0171
 1.9995 0.0171
 2.0000 0.0182
 2.0005 0.0164
 2.0010 0.0139
 2.0015 0.0118
 2.0020 0.0117
 2.0025 0.0106
 2.0030 0.0085
 2.0035 0.0103
 2.0040 0.0102
 2.0045 0.0095
 2.0050 0.0116
 2.0055 0.0129
 2.0060 0.0171
 2.0065 0.0208
 2.0070 0.0221
 2.0075 0.0197
 2.0080 0.0179
 2.0085 0.0259
 2.0090 0.0365
 2.0095 0.0242
 2.0100 0.0261
 2.0105 0.0322
 2.0110 0.0230
 2.0115 0.0178
 2.0120 0.0279
 2.0125 0.0331
 2.0130 0.0229
 2.0135 0.0197
 2.0140 0.0373
 2.0145 0.0325
 2.0150 0.0191
 2.0155 0.0427
 2.0160 0.0386
 2.0165 0.0246
 2.0170 0.0470
 2.0175 0.0406
 2.0180 0.0321
 2.0185 0.0583
 2.0190 0.0402
 2.0195 0.0562
 2.0200 0.0630
 2.0205 0.0468
 2.0210 0.0741
 2.0215 0.0590
 2.0220 0.0687
 2.0225 0.0843
 2.0230 0.0668
 2.0235 0.0890
 2.0240 0.0739
 2.0245 0.0922
 2.0250 0.0918
 2.0255 0.0963
 2.0260 0.1022
 2.0265 0.0989
 2.0270 0.1098
 2.0275 0.1040
 2.0280 0.1139
 2.0285 0.1091
 2.0290 0.1215
 2.0295 0.1187
 2.0300 0.1277
 2.0305 0.1255
 2.0310 0.1310
 2.0315 0.1330
 2.0320 0.1360
 2.0325 0.1376
 2.0330 0.1393
 2.0335 0.1411
 2.0340 0.1447
 2.0345 0.1468
 2.0350 0.1492
 2.0355 0.1512
 2.0360 0.1529
 2.0365 0.1549
 2.0370 0.1570
 2.0375 0.1588
 2.0380 0.1610
 2.0385 0.1623
 2.0390 0.1645
 2.0395 0.1648
 2.0400 0.1622
 2.0405 0.1624
 2.0410 0.1650
 2.0415 0.1660
 2.0420 0.1684
 2.0425 0.1738
 2.0430 0.1761
 2.0435 0.1782
 2.0440 0.1749
 2.0445 0.1764
 2.0450 0.1802
 2.0455 0.1825
 2.0460 0.1827
 2.0465 0.1808
 2.0470 0.1799
 2.0475 0.1767
 2.0480 0.1723
 2.0485 0.1731
 2.0490 0.1707
 2.0495 0.1575
 2.0500 0.1562
 2.0505 0.1521
 2.0510 0.1352
 2.0515 0.1353
 2.0520 0.1382
 2.0525 0.1382
 2.0530 0.1579
 2.0535 0.1636
 2.0540 0.1547
 2.0545 0.1351
 2.0550 0.1201
 2.0555 0.1168
 2.0560 0.1491
 2.0565 0.1622
 2.0570 0.1606
 2.0575 0.1303
 2.0580 0.1300
 2.0585 0.1684
 2.0590 0.1830
 2.0595 0.1728
 2.0600 0.1711
 2.0605 0.1994
 2.0610 0.1602
 2.0615 0.1659
 2.0620 0.1884
 2.0625 0.1627
 2.0630 0.1222
 2.0635 0.1682
 2.0640 0.1814
 2.0645 0.1312
 2.0650 0.1457
 2.0655 0.1867
 2.0660 0.1551
 2.0665 0.1363
 2.0670 0.1863
 2.0675 0.1747
 2.0680 0.1387
 2.0685 0.1887
 2.0690 0.1827
 2.0695 0.1475
 2.0700 0.1940
 2.0705 0.1830
 2.0710 0.1591
 2.0715 0.1979
 2.0720 0.1758
 2.0725 0.1814
 2.0730 0.2038
 2.0735 0.1756
 2.0740 0.1964
 2.0745 0.1962
 2.0750 0.1761
 2.0755 0.2044
 2.0760 0.1958
 2.0765 0.2025
 2.0770 0.2046
 2.0775 0.1967
 2.0780 0.2082
 2.0785 0.2053
 2.0790 0.2111
 2.0795 0.2134
 2.0800 0.2090
 2.0805 0.2141
 2.0810 0.2106
 2.0815 0.2119
 2.0820 0.2096
 2.0825 0.2100
 2.0830 0.2102
 2.0835 0.2096
 2.0840 0.2093
 2.0845 0.2107
 2.0850 0.2089
 2.0855 0.2090
 2.0860 0.2130
 2.0865 0.2144
 2.0870 0.2106
 2.0875 0.2155
 2.0880 0.2161
 2.0885 0.2114
 2.0890 0.2172
 2.0895 0.2162
 2.0900 0.2113
