#Wavelength Transmission
5497.6 0.0012500000
5498.3 0.0013100000
5499.0 0.0012200000
5499.7 0.0013200000
5500.4 0.0013700000
5501.2 0.0013300000
5501.9 0.0012800000
5502.6 0.0012400000
5503.3 0.0012200000
5504.0 0.0012400000
5504.7 0.0012700000
5505.4 0.0012500000
5506.1 0.0011300000
5506.9 0.0012800000
5507.6 0.0012300000
5508.3 0.0013200000
5509.0 0.0012500000
5509.7 0.0011800000
5510.4 0.0010900000
5511.1 0.0012200000
5511.8 0.0012500000
5512.5 0.0012200000
5513.3 0.0012600000
5514.0 0.0012600000
5514.7 0.0013700000
5515.4 0.0013900000
5516.1 0.0013700000
5516.8 0.0012800000
5517.5 0.0012200000
5518.2 0.0012400000
5518.9 0.0013400000
5519.6 0.0013200000
5520.4 0.0014100000
5521.1 0.0013300000
5521.8 0.0013600000
5522.5 0.0013800000
5523.2 0.0014000000
5523.9 0.0012600000
5524.6 0.0013700000
5525.3 0.0014200000
5526.0 0.0014400000
5526.7 0.0013400000
5527.5 0.0014300000
5528.2 0.0013800000
5528.9 0.0012900000
5529.6 0.0014900000
5530.3 0.0015400000
5531.0 0.0013800000
5531.7 0.0015900000
5532.4 0.0013900000
5533.1 0.0015100000
5533.8 0.0015100000
5534.5 0.0015900000
5535.3 0.0013600000
5536.0 0.0014200000
5536.7 0.0016100000
5537.4 0.0016000000
5538.1 0.0016300000
5538.8 0.0013800000
5539.5 0.0014200000
5540.2 0.0016500000
5540.9 0.0016600000
5541.6 0.0016200000
5542.3 0.0016700000
5543.0 0.0017400000
5543.8 0.0016600000
5544.5 0.0017100000
5545.2 0.0016900000
5545.9 0.0017600000
5546.6 0.0017200000
5547.3 0.0017000000
5548.0 0.0018000000
5548.7 0.0018300000
5549.4 0.0018000000
5550.1 0.0018200000
5550.8 0.0018600000
5551.5 0.0018800000
5552.2 0.0018700000
5552.9 0.0019300000
5553.7 0.0020800000
5554.4 0.0018600000
5555.1 0.0019900000
5555.8 0.0019600000
5556.5 0.0021600000
5557.2 0.0019900000
5557.9 0.0020500000
5558.6 0.0021800000
5559.3 0.0022100000
5560.0 0.0021600000
5560.7 0.0023100000
5561.4 0.0022000000
5562.1 0.0022800000
5562.8 0.0023300000
5563.5 0.0023400000
5564.2 0.0024100000
5565.0 0.0024600000
5565.7 0.0024500000
5566.4 0.0027300000
5567.1 0.0027400000
5567.8 0.0026300000
5568.5 0.0026800000
5569.2 0.0027200000
5569.9 0.0028100000
5570.6 0.0030200000
5571.3 0.0031200000
5572.0 0.0030600000
5572.7 0.0030700000
5573.4 0.0031600000
5574.1 0.0031400000
5574.8 0.0032600000
5575.5 0.0033400000
5576.2 0.0035500000
5576.9 0.0034700000
5577.6 0.0037000000
5578.3 0.0037600000
5579.0 0.0037600000
